Precipitation Forecast for Lassen County:
1951-10-01: Prediction: 21.36 inches, Lower -2750.45 inches, Upper 2793.17 inches
1952-10-01: Prediction: 21.36 inches, Lower -3898.57 inches, Upper 3941.29 inches
1953-10-01: Prediction: 21.36 inches, Lower -4779.55 inches, Upper 4822.27 inches
1954-10-01: Prediction: 21.36 inches, Lower -5522.26 inches, Upper 5564.98 inches
1955-10-01: Prediction: 21.36 inches, Lower -6176.59 inches, Upper 6219.31 inches
1956-10-01: Prediction: 21.36 inches, Lower -6768.16 inches, Upper 6810.88 inches
1957-10-01: Prediction: 21.36 inches, Lower -7312.16 inches, Upper 7354.88 inches
1958-10-01: Prediction: 21.36 inches, Lower -7818.50 inches, Upper 7861.22 inches
1959-10-01: Prediction: 21.36 inches, Lower -8294.07 inches, Upper 8336.79 inches
1960-10-01: Prediction: 38.11 inches, Lower -8653.77 inches, Upper 8729.98 inches
1961-10-01: Prediction: 28.99 inches, Lower -8881.13 inches, Upper 8939.10 inches
1962-10-01: Prediction: 34.35 inches, Lower -8875.77 inches, Upper 8944.46 inches
1963-10-01: Prediction: 34.35 inches, Lower -10086.87 inches, Upper 10155.56 inches
1964-10-01: Prediction: 34.35 inches, Lower -11167.78 inches, Upper 11236.48 inches
1965-10-01: Prediction: 34.35 inches, Lower -12153.21 inches, Upper 12221.90 inches
1966-10-01: Prediction: 34.35 inches, Lower -13064.71 inches, Upper 13133.40 inches
1967-10-01: Prediction: 34.35 inches, Lower -13916.78 inches, Upper 13985.48 inches
1968-10-01: Prediction: 34.35 inches, Lower -14719.73 inches, Upper 14788.42 inches
1969-10-01: Prediction: 34.35 inches, Lower -15481.18 inches, Upper 15549.87 inches
1970-10-01: Prediction: 34.35 inches, Lower -16206.97 inches, Upper 16275.66 inches
1971-10-01: Prediction: 34.35 inches, Lower -16901.68 inches, Upper 16970.38 inches
1972-10-01: Prediction: 51.09 inches, Lower -17442.80 inches, Upper 17544.99 inches
1973-10-01: Prediction: 41.97 inches, Lower -17778.26 inches, Upper 17862.21 inches
1974-10-01: Prediction: 47.33 inches, Lower -17772.90 inches, Upper 17867.57 inches
1975-10-01: Prediction: 47.33 inches, Lower -18819.98 inches, Upper 18914.64 inches
1976-10-01: Prediction: 47.33 inches, Lower -19811.92 inches, Upper 19906.59 inches
1977-10-01: Prediction: 47.33 inches, Lower -20756.63 inches, Upper 20851.29 inches
1978-10-01: Prediction: 47.33 inches, Lower -21660.25 inches, Upper 21754.92 inches
1979-10-01: Prediction: 47.33 inches, Lower -22527.74 inches, Upper 22622.41 inches
1980-10-01: Prediction: 47.33 inches, Lower -23363.10 inches, Upper 23457.77 inches
1981-10-01: Prediction: 47.33 inches, Lower -24169.67 inches, Upper 24264.34 inches
1982-10-01: Prediction: 47.33 inches, Lower -24950.22 inches, Upper 25044.89 inches
1983-10-01: Prediction: 47.33 inches, Lower -25707.13 inches, Upper 25801.80 inches
1984-10-01: Prediction: 64.08 inches, Lower -26304.55 inches, Upper 26432.71 inches
1985-10-01: Prediction: 54.96 inches, Lower -26675.40 inches, Upper 26785.32 inches
1986-10-01: Prediction: 60.32 inches, Lower -26670.04 inches, Upper 26790.68 inches
1987-10-01: Prediction: 60.32 inches, Lower -27657.77 inches, Upper 27778.41 inches
1988-10-01: Prediction: 60.32 inches, Lower -28611.49 inches, Upper 28732.13 inches
1989-10-01: Prediction: 60.32 inches, Lower -29534.50 inches, Upper 29655.14 inches
1990-10-01: Prediction: 60.32 inches, Lower -30429.58 inches, Upper 30550.22 inches
1991-10-01: Prediction: 60.32 inches, Lower -31299.12 inches, Upper 31419.76 inches
1992-10-01: Prediction: 60.32 inches, Lower -32145.19 inches, Upper 32265.83 inches
1993-10-01: Prediction: 60.32 inches, Lower -32969.60 inches, Upper 33090.24 inches
1994-10-01: Prediction: 60.32 inches, Lower -33773.92 inches, Upper 33894.56 inches
1995-10-01: Prediction: 60.32 inches, Lower -34559.56 inches, Upper 34680.20 inches
1996-10-01: Prediction: 77.07 inches, Lower -35184.15 inches, Upper 35338.28 inches
1997-10-01: Prediction: 67.95 inches, Lower -35572.53 inches, Upper 35708.43 inches
1998-10-01: Prediction: 73.31 inches, Lower -35567.17 inches, Upper 35713.79 inches
1999-10-01: Prediction: 73.31 inches, Lower -36524.37 inches, Upper 36670.99 inches
2000-10-01: Prediction: 73.31 inches, Lower -37457.17 inches, Upper 37603.78 inches
2001-10-01: Prediction: 73.31 inches, Lower -38367.33 inches, Upper 38513.95 inches
2002-10-01: Prediction: 73.31 inches, Lower -39256.44 inches, Upper 39403.06 inches
2003-10-01: Prediction: 73.31 inches, Lower -40125.89 inches, Upper 40272.50 inches
2004-10-01: Prediction: 73.31 inches, Lower -40976.93 inches, Upper 41123.54 inches
2005-10-01: Prediction: 73.31 inches, Lower -41810.68 inches, Upper 41957.29 inches
2006-10-01: Prediction: 73.31 inches, Lower -42628.15 inches, Upper 42774.77 inches
2007-10-01: Prediction: 73.31 inches, Lower -43430.27 inches, Upper 43576.88 inches
2008-10-01: Prediction: 90.05 inches, Lower -44070.82 inches, Upper 44250.93 inches
2009-10-01: Prediction: 80.93 inches, Lower -44469.67 inches, Upper 44631.54 inches
2010-10-01: Prediction: 86.29 inches, Lower -44464.31 inches, Upper 44636.90 inches
2011-10-01: Prediction: 86.29 inches, Lower -45402.92 inches, Upper 45575.51 inches
2012-10-01: Prediction: 86.29 inches, Lower -46322.55 inches, Upper 46495.14 inches
2013-10-01: Prediction: 86.29 inches, Lower -47224.31 inches, Upper 47396.89 inches
2014-10-01: Prediction: 86.29 inches, Lower -48109.20 inches, Upper 48281.78 inches
2015-10-01: Prediction: 86.29 inches, Lower -48978.13 inches, Upper 49150.71 inches
2016-10-01: Prediction: 86.29 inches, Lower -49831.94 inches, Upper 50004.52 inches
2017-10-01: Prediction: 86.29 inches, Lower -50671.38 inches, Upper 50843.97 inches
2018-10-01: Prediction: 86.29 inches, Lower -51497.17 inches, Upper 51669.76 inches
2019-10-01: Prediction: 86.29 inches, Lower -52309.95 inches, Upper 52482.54 inches
2020-10-01: Prediction: 103.04 inches, Lower -52961.01 inches, Upper 53167.09 inches
2021-10-01: Prediction: 93.92 inches, Lower -53366.81 inches, Upper 53554.65 inches
2022-10-01: Prediction: 99.28 inches, Lower -53361.45 inches, Upper 53560.01 inches
2023-10-01: Prediction: 99.28 inches, Lower -54287.55 inches, Upper 54486.11 inches
2024-10-01: Prediction: 99.28 inches, Lower -55198.15 inches, Upper 55396.71 inches
2025-10-01: Prediction: 99.28 inches, Lower -56093.99 inches, Upper 56292.55 inches
2026-10-01: Prediction: 99.28 inches, Lower -56975.78 inches, Upper 57174.34 inches
2027-10-01: Prediction: 99.28 inches, Lower -57844.14 inches, Upper 58042.70 inches
2028-10-01: Prediction: 99.28 inches, Lower -58699.68 inches, Upper 58898.24 inches
2029-10-01: Prediction: 99.28 inches, Lower -59542.96 inches, Upper 59741.52 inches
2030-10-01: Prediction: 99.28 inches, Lower -60374.47 inches, Upper 60573.03 inches
