Precipitation Forecast for Modoc County:
2029-10-01: Prediction: 38.10 inches, Lower -9.05 inches, Upper 85.25 inches
2030-10-01: Prediction: 37.42 inches, Lower -9.85 inches, Upper 84.70 inches
2031-10-01: Prediction: 38.49 inches, Lower -8.91 inches, Upper 85.88 inches
2032-10-01: Prediction: 38.03 inches, Lower -9.48 inches, Upper 85.54 inches
2033-10-01: Prediction: 36.92 inches, Lower -10.71 inches, Upper 84.55 inches
2034-10-01: Prediction: 38.90 inches, Lower -8.85 inches, Upper 86.65 inches
2035-10-01: Prediction: 38.97 inches, Lower -8.89 inches, Upper 86.84 inches
2036-10-01: Prediction: 40.30 inches, Lower -7.69 inches, Upper 88.28 inches
2037-10-01: Prediction: 36.91 inches, Lower -11.20 inches, Upper 85.01 inches
2038-10-01: Prediction: 36.02 inches, Lower -12.20 inches, Upper 84.24 inches
2039-10-01: Prediction: 39.13 inches, Lower -9.21 inches, Upper 87.47 inches
2040-10-01: Prediction: 38.46 inches, Lower -9.99 inches, Upper 86.91 inches
2041-10-01: Prediction: 38.39 inches, Lower -10.25 inches, Upper 87.04 inches
2042-10-01: Prediction: 37.72 inches, Lower -11.05 inches, Upper 86.49 inches
2043-10-01: Prediction: 38.78 inches, Lower -10.11 inches, Upper 87.67 inches
2044-10-01: Prediction: 38.33 inches, Lower -10.69 inches, Upper 87.34 inches
2045-10-01: Prediction: 37.21 inches, Lower -11.92 inches, Upper 86.34 inches
2046-10-01: Prediction: 39.20 inches, Lower -10.06 inches, Upper 88.45 inches
2047-10-01: Prediction: 39.27 inches, Lower -10.10 inches, Upper 88.64 inches
2048-10-01: Prediction: 40.59 inches, Lower -8.90 inches, Upper 90.08 inches
2049-10-01: Prediction: 37.20 inches, Lower -12.41 inches, Upper 86.81 inches
2050-10-01: Prediction: 36.32 inches, Lower -13.41 inches, Upper 86.05 inches
2051-10-01: Prediction: 39.42 inches, Lower -10.43 inches, Upper 89.27 inches
2052-10-01: Prediction: 38.75 inches, Lower -11.21 inches, Upper 88.72 inches
2053-10-01: Prediction: 38.69 inches, Lower -11.47 inches, Upper 88.85 inches
2054-10-01: Prediction: 38.01 inches, Lower -12.27 inches, Upper 88.30 inches
2055-10-01: Prediction: 39.07 inches, Lower -11.34 inches, Upper 89.48 inches
2056-10-01: Prediction: 38.62 inches, Lower -11.91 inches, Upper 89.15 inches
2057-10-01: Prediction: 37.50 inches, Lower -13.15 inches, Upper 88.16 inches
2058-10-01: Prediction: 39.49 inches, Lower -11.28 inches, Upper 90.26 inches
2059-10-01: Prediction: 39.56 inches, Lower -11.33 inches, Upper 90.46 inches
2060-10-01: Prediction: 40.89 inches, Lower -10.13 inches, Upper 91.90 inches
2061-10-01: Prediction: 37.49 inches, Lower -13.65 inches, Upper 88.63 inches
2062-10-01: Prediction: 36.61 inches, Lower -14.65 inches, Upper 87.87 inches
2063-10-01: Prediction: 39.72 inches, Lower -11.66 inches, Upper 91.10 inches
2064-10-01: Prediction: 39.05 inches, Lower -12.45 inches, Upper 90.55 inches
2065-10-01: Prediction: 38.98 inches, Lower -12.71 inches, Upper 90.67 inches
2066-10-01: Prediction: 38.31 inches, Lower -13.51 inches, Upper 90.13 inches
2067-10-01: Prediction: 39.37 inches, Lower -12.58 inches, Upper 91.31 inches
2068-10-01: Prediction: 38.91 inches, Lower -13.15 inches, Upper 90.98 inches
2069-10-01: Prediction: 37.80 inches, Lower -14.39 inches, Upper 89.99 inches
2070-10-01: Prediction: 39.78 inches, Lower -12.53 inches, Upper 92.10 inches
2071-10-01: Prediction: 39.86 inches, Lower -12.58 inches, Upper 92.29 inches
2072-10-01: Prediction: 41.18 inches, Lower -11.38 inches, Upper 93.74 inches
2073-10-01: Prediction: 37.79 inches, Lower -14.90 inches, Upper 90.47 inches
2074-10-01: Prediction: 36.91 inches, Lower -15.90 inches, Upper 89.71 inches
2075-10-01: Prediction: 40.01 inches, Lower -12.92 inches, Upper 92.94 inches
2076-10-01: Prediction: 39.34 inches, Lower -13.71 inches, Upper 92.39 inches
2077-10-01: Prediction: 39.28 inches, Lower -13.97 inches, Upper 92.52 inches
2078-10-01: Prediction: 38.60 inches, Lower -14.77 inches, Upper 91.97 inches
2079-10-01: Prediction: 39.66 inches, Lower -13.84 inches, Upper 93.16 inches
2080-10-01: Prediction: 39.21 inches, Lower -14.42 inches, Upper 92.83 inches
2081-10-01: Prediction: 38.09 inches, Lower -15.66 inches, Upper 91.84 inches
2082-10-01: Prediction: 40.08 inches, Lower -13.79 inches, Upper 93.95 inches
2083-10-01: Prediction: 40.15 inches, Lower -13.84 inches, Upper 94.15 inches
2084-10-01: Prediction: 41.48 inches, Lower -12.65 inches, Upper 95.60 inches
2085-10-01: Prediction: 38.08 inches, Lower -16.16 inches, Upper 92.33 inches
2086-10-01: Prediction: 37.20 inches, Lower -17.17 inches, Upper 91.57 inches
2087-10-01: Prediction: 40.30 inches, Lower -14.19 inches, Upper 94.80 inches
2088-10-01: Prediction: 39.64 inches, Lower -14.98 inches, Upper 94.25 inches
2089-10-01: Prediction: 39.57 inches, Lower -15.24 inches, Upper 94.38 inches
2090-10-01: Prediction: 38.90 inches, Lower -16.05 inches, Upper 93.84 inches
