Precipitation Forecast for Plumas County:
2033-10-01: Prediction: 44.46 inches, Lower -352.03 inches, Upper 440.95 inches
2034-10-01: Prediction: 47.92 inches, Lower -349.37 inches, Upper 445.21 inches
2035-10-01: Prediction: 39.79 inches, Lower -358.44 inches, Upper 438.01 inches
2036-10-01: Prediction: 44.34 inches, Lower -354.72 inches, Upper 443.41 inches
2037-10-01: Prediction: 45.15 inches, Lower -354.74 inches, Upper 445.04 inches
2038-10-01: Prediction: 47.93 inches, Lower -352.78 inches, Upper 448.65 inches
2039-10-01: Prediction: 40.08 inches, Lower -361.46 inches, Upper 441.62 inches
2040-10-01: Prediction: 43.25 inches, Lower -359.11 inches, Upper 445.62 inches
2041-10-01: Prediction: 46.97 inches, Lower -356.21 inches, Upper 450.16 inches
2042-10-01: Prediction: 48.64 inches, Lower -355.36 inches, Upper 452.64 inches
2043-10-01: Prediction: 40.43 inches, Lower -364.39 inches, Upper 445.25 inches
2044-10-01: Prediction: 43.93 inches, Lower -361.70 inches, Upper 449.57 inches
2045-10-01: Prediction: 44.57 inches, Lower -361.88 inches, Upper 451.02 inches
2046-10-01: Prediction: 48.03 inches, Lower -359.23 inches, Upper 455.29 inches
2047-10-01: Prediction: 39.89 inches, Lower -368.31 inches, Upper 448.10 inches
2048-10-01: Prediction: 44.45 inches, Lower -364.60 inches, Upper 453.49 inches
2049-10-01: Prediction: 45.25 inches, Lower -364.63 inches, Upper 455.13 inches
2050-10-01: Prediction: 48.04 inches, Lower -362.67 inches, Upper 458.75 inches
2051-10-01: Prediction: 40.19 inches, Lower -371.35 inches, Upper 451.73 inches
2052-10-01: Prediction: 43.36 inches, Lower -369.01 inches, Upper 455.73 inches
2053-10-01: Prediction: 47.08 inches, Lower -366.12 inches, Upper 460.28 inches
2054-10-01: Prediction: 48.75 inches, Lower -365.28 inches, Upper 462.77 inches
2055-10-01: Prediction: 40.53 inches, Lower -374.31 inches, Upper 455.38 inches
2056-10-01: Prediction: 44.04 inches, Lower -371.63 inches, Upper 459.71 inches
2057-10-01: Prediction: 44.67 inches, Lower -371.82 inches, Upper 461.17 inches
2058-10-01: Prediction: 48.13 inches, Lower -369.18 inches, Upper 465.45 inches
2059-10-01: Prediction: 40.00 inches, Lower -378.26 inches, Upper 458.26 inches
2060-10-01: Prediction: 44.56 inches, Lower -374.55 inches, Upper 463.66 inches
2061-10-01: Prediction: 45.36 inches, Lower -374.59 inches, Upper 465.31 inches
2062-10-01: Prediction: 48.14 inches, Lower -372.64 inches, Upper 468.93 inches
2063-10-01: Prediction: 40.29 inches, Lower -381.33 inches, Upper 461.92 inches
2064-10-01: Prediction: 43.47 inches, Lower -378.99 inches, Upper 465.92 inches
2065-10-01: Prediction: 47.18 inches, Lower -376.11 inches, Upper 470.48 inches
2066-10-01: Prediction: 48.85 inches, Lower -375.27 inches, Upper 472.98 inches
2067-10-01: Prediction: 40.64 inches, Lower -384.32 inches, Upper 465.60 inches
2068-10-01: Prediction: 44.14 inches, Lower -381.64 inches, Upper 469.93 inches
2069-10-01: Prediction: 44.78 inches, Lower -381.83 inches, Upper 471.39 inches
2070-10-01: Prediction: 48.24 inches, Lower -379.20 inches, Upper 475.68 inches
2071-10-01: Prediction: 40.11 inches, Lower -388.28 inches, Upper 468.50 inches
2072-10-01: Prediction: 44.66 inches, Lower -384.58 inches, Upper 473.91 inches
2073-10-01: Prediction: 45.47 inches, Lower -384.63 inches, Upper 475.56 inches
2074-10-01: Prediction: 48.25 inches, Lower -382.69 inches, Upper 479.19 inches
2075-10-01: Prediction: 40.40 inches, Lower -391.38 inches, Upper 472.18 inches
