Precipitation Forecast for Shasta County:
2024-10-01: Prediction: 61.49 inches, Lower -5.34 inches, Upper 128.32 inches
2025-10-01: Prediction: 64.30 inches, Lower -2.98 inches, Upper 131.59 inches
2026-10-01: Prediction: 69.03 inches, Lower 1.66 inches, Upper 136.39 inches
2027-10-01: Prediction: 63.68 inches, Lower -3.68 inches, Upper 131.04 inches
2028-10-01: Prediction: 78.36 inches, Lower 11.00 inches, Upper 145.72 inches
2029-10-01: Prediction: 92.85 inches, Lower 25.49 inches, Upper 160.21 inches
2030-10-01: Prediction: 96.58 inches, Lower 29.22 inches, Upper 163.94 inches
2031-10-01: Prediction: 95.55 inches, Lower 28.19 inches, Upper 162.91 inches
2032-10-01: Prediction: 64.36 inches, Lower -2.71 inches, Upper 131.42 inches
2033-10-01: Prediction: 63.95 inches, Lower -3.03 inches, Upper 130.94 inches
2034-10-01: Prediction: 89.35 inches, Lower 22.35 inches, Upper 156.34 inches
2035-10-01: Prediction: 84.75 inches, Lower 17.75 inches, Upper 151.74 inches
2036-10-01: Prediction: 61.27 inches, Lower -6.77 inches, Upper 129.30 inches
2037-10-01: Prediction: 61.98 inches, Lower -6.01 inches, Upper 129.96 inches
2038-10-01: Prediction: 67.05 inches, Lower -0.95 inches, Upper 135.04 inches
2039-10-01: Prediction: 61.64 inches, Lower -6.35 inches, Upper 129.64 inches
2040-10-01: Prediction: 76.33 inches, Lower 8.33 inches, Upper 144.33 inches
2041-10-01: Prediction: 90.82 inches, Lower 22.82 inches, Upper 158.82 inches
2042-10-01: Prediction: 94.55 inches, Lower 26.55 inches, Upper 162.54 inches
2043-10-01: Prediction: 93.52 inches, Lower 25.53 inches, Upper 161.52 inches
2044-10-01: Prediction: 62.33 inches, Lower -5.47 inches, Upper 130.12 inches
2045-10-01: Prediction: 61.92 inches, Lower -5.78 inches, Upper 129.63 inches
2046-10-01: Prediction: 87.32 inches, Lower 19.61 inches, Upper 155.03 inches
2047-10-01: Prediction: 82.72 inches, Lower 15.01 inches, Upper 150.43 inches
2048-10-01: Prediction: 59.24 inches, Lower -9.60 inches, Upper 128.07 inches
2049-10-01: Prediction: 59.95 inches, Lower -8.82 inches, Upper 128.72 inches
2050-10-01: Prediction: 65.02 inches, Lower -3.77 inches, Upper 133.80 inches
2051-10-01: Prediction: 59.62 inches, Lower -9.17 inches, Upper 128.40 inches
2052-10-01: Prediction: 74.30 inches, Lower 5.52 inches, Upper 143.09 inches
2053-10-01: Prediction: 88.79 inches, Lower 20.01 inches, Upper 157.58 inches
2054-10-01: Prediction: 92.52 inches, Lower 23.74 inches, Upper 161.30 inches
2055-10-01: Prediction: 91.50 inches, Lower 22.71 inches, Upper 160.28 inches
2056-10-01: Prediction: 60.30 inches, Lower -8.38 inches, Upper 128.97 inches
2057-10-01: Prediction: 59.90 inches, Lower -8.67 inches, Upper 128.46 inches
2058-10-01: Prediction: 85.29 inches, Lower 16.71 inches, Upper 153.87 inches
2059-10-01: Prediction: 80.69 inches, Lower 12.11 inches, Upper 149.27 inches
2060-10-01: Prediction: 57.21 inches, Lower -12.57 inches, Upper 126.99 inches
2061-10-01: Prediction: 57.92 inches, Lower -11.78 inches, Upper 127.62 inches
2062-10-01: Prediction: 62.99 inches, Lower -6.73 inches, Upper 132.71 inches
2063-10-01: Prediction: 57.59 inches, Lower -12.13 inches, Upper 127.30 inches
2064-10-01: Prediction: 72.28 inches, Lower 2.56 inches, Upper 141.99 inches
2065-10-01: Prediction: 86.77 inches, Lower 17.05 inches, Upper 156.48 inches
2066-10-01: Prediction: 90.49 inches, Lower 20.78 inches, Upper 160.21 inches
2067-10-01: Prediction: 89.47 inches, Lower 19.75 inches, Upper 159.18 inches
2068-10-01: Prediction: 58.27 inches, Lower -11.43 inches, Upper 127.97 inches
2069-10-01: Prediction: 57.87 inches, Lower -11.71 inches, Upper 127.45 inches
2070-10-01: Prediction: 83.26 inches, Lower 13.67 inches, Upper 152.86 inches
2071-10-01: Prediction: 78.66 inches, Lower 9.07 inches, Upper 148.25 inches
2072-10-01: Prediction: 55.18 inches, Lower -15.68 inches, Upper 126.05 inches
2073-10-01: Prediction: 55.89 inches, Lower -14.88 inches, Upper 126.67 inches
2074-10-01: Prediction: 60.96 inches, Lower -9.83 inches, Upper 131.75 inches
2075-10-01: Prediction: 55.56 inches, Lower -15.23 inches, Upper 126.35 inches
2076-10-01: Prediction: 70.25 inches, Lower -0.54 inches, Upper 141.04 inches
2077-10-01: Prediction: 84.74 inches, Lower 13.95 inches, Upper 155.53 inches
2078-10-01: Prediction: 88.46 inches, Lower 17.68 inches, Upper 159.25 inches
2079-10-01: Prediction: 87.44 inches, Lower 16.65 inches, Upper 158.23 inches
2080-10-01: Prediction: 56.24 inches, Lower -14.62 inches, Upper 127.10 inches
2081-10-01: Prediction: 55.84 inches, Lower -14.89 inches, Upper 126.57 inches
2082-10-01: Prediction: 81.24 inches, Lower 10.49 inches, Upper 151.98 inches
2083-10-01: Prediction: 76.63 inches, Lower 5.89 inches, Upper 147.38 inches
2084-10-01: Prediction: 53.15 inches, Lower -18.93 inches, Upper 125.24 inches
2085-10-01: Prediction: 53.86 inches, Lower -18.11 inches, Upper 125.84 inches
2086-10-01: Prediction: 58.93 inches, Lower -13.06 inches, Upper 130.93 inches
2087-10-01: Prediction: 53.53 inches, Lower -18.46 inches, Upper 125.53 inches
2088-10-01: Prediction: 68.22 inches, Lower -3.78 inches, Upper 140.21 inches
2089-10-01: Prediction: 82.71 inches, Lower 10.71 inches, Upper 154.70 inches
2090-10-01: Prediction: 86.44 inches, Lower 14.44 inches, Upper 158.43 inches
2091-10-01: Prediction: 85.41 inches, Lower 13.42 inches, Upper 157.41 inches
2092-10-01: Prediction: 54.21 inches, Lower -17.94 inches, Upper 126.37 inches
2093-10-01: Prediction: 53.81 inches, Lower -18.19 inches, Upper 125.82 inches
2094-10-01: Prediction: 79.21 inches, Lower 7.18 inches, Upper 151.23 inches
2095-10-01: Prediction: 74.60 inches, Lower 2.58 inches, Upper 146.63 inches
2096-10-01: Prediction: 51.13 inches, Lower -22.30 inches, Upper 124.55 inches
2097-10-01: Prediction: 51.84 inches, Lower -21.47 inches, Upper 125.14 inches
2098-10-01: Prediction: 56.91 inches, Lower -16.42 inches, Upper 130.24 inches
2099-10-01: Prediction: 51.50 inches, Lower -21.82 inches, Upper 124.83 inches
2100-10-01: Prediction: 66.19 inches, Lower -7.14 inches, Upper 139.52 inches
2101-10-01: Prediction: 80.68 inches, Lower 7.35 inches, Upper 154.01 inches
2102-10-01: Prediction: 84.41 inches, Lower 11.08 inches, Upper 157.73 inches
2103-10-01: Prediction: 83.38 inches, Lower 10.06 inches, Upper 156.71 inches
