Precipitation Forecast for Tehama County:
2027-10-01: Prediction: 14.52 inches, Lower -91.24 inches, Upper 120.27 inches
2028-10-01: Prediction: 9.40 inches, Lower -96.72 inches, Upper 115.53 inches
2029-10-01: Prediction: 12.78 inches, Lower -93.72 inches, Upper 119.28 inches
2030-10-01: Prediction: 17.98 inches, Lower -88.89 inches, Upper 124.85 inches
2031-10-01: Prediction: 18.01 inches, Lower -89.23 inches, Upper 125.25 inches
2032-10-01: Prediction: 12.74 inches, Lower -94.87 inches, Upper 120.35 inches
2033-10-01: Prediction: 13.05 inches, Lower -94.93 inches, Upper 121.02 inches
2034-10-01: Prediction: 7.11 inches, Lower -101.23 inches, Upper 115.45 inches
2035-10-01: Prediction: 11.08 inches, Lower -97.62 inches, Upper 119.78 inches
2036-10-01: Prediction: 17.13 inches, Lower -91.93 inches, Upper 126.19 inches
2037-10-01: Prediction: 13.37 inches, Lower -96.06 inches, Upper 122.79 inches
2038-10-01: Prediction: 12.21 inches, Lower -97.83 inches, Upper 122.25 inches
2039-10-01: Prediction: 13.89 inches, Lower -96.54 inches, Upper 124.31 inches
2040-10-01: Prediction: 8.77 inches, Lower -102.03 inches, Upper 119.58 inches
2041-10-01: Prediction: 12.15 inches, Lower -99.03 inches, Upper 123.33 inches
2042-10-01: Prediction: 17.35 inches, Lower -94.21 inches, Upper 128.91 inches
2043-10-01: Prediction: 17.38 inches, Lower -94.56 inches, Upper 129.31 inches
2044-10-01: Prediction: 12.11 inches, Lower -100.20 inches, Upper 124.42 inches
2045-10-01: Prediction: 12.42 inches, Lower -100.27 inches, Upper 125.10 inches
2046-10-01: Prediction: 6.48 inches, Lower -106.57 inches, Upper 119.53 inches
2047-10-01: Prediction: 10.45 inches, Lower -102.98 inches, Upper 123.87 inches
2048-10-01: Prediction: 16.50 inches, Lower -97.29 inches, Upper 130.29 inches
2049-10-01: Prediction: 12.74 inches, Lower -101.43 inches, Upper 126.90 inches
2050-10-01: Prediction: 11.58 inches, Lower -103.20 inches, Upper 126.35 inches
2051-10-01: Prediction: 13.26 inches, Lower -101.91 inches, Upper 128.43 inches
2052-10-01: Prediction: 8.14 inches, Lower -107.41 inches, Upper 123.70 inches
2053-10-01: Prediction: 11.52 inches, Lower -104.42 inches, Upper 127.46 inches
2054-10-01: Prediction: 16.72 inches, Lower -99.60 inches, Upper 133.04 inches
2055-10-01: Prediction: 16.75 inches, Lower -99.96 inches, Upper 133.45 inches
2056-10-01: Prediction: 11.48 inches, Lower -105.61 inches, Upper 128.57 inches
2057-10-01: Prediction: 11.79 inches, Lower -105.68 inches, Upper 129.25 inches
2058-10-01: Prediction: 5.85 inches, Lower -112.00 inches, Upper 123.69 inches
2059-10-01: Prediction: 9.82 inches, Lower -108.40 inches, Upper 128.04 inches
2060-10-01: Prediction: 15.87 inches, Lower -102.73 inches, Upper 134.46 inches
2061-10-01: Prediction: 12.11 inches, Lower -106.87 inches, Upper 131.08 inches
2062-10-01: Prediction: 10.95 inches, Lower -108.64 inches, Upper 130.54 inches
2063-10-01: Prediction: 12.63 inches, Lower -107.36 inches, Upper 132.61 inches
2064-10-01: Prediction: 7.51 inches, Lower -112.87 inches, Upper 127.89 inches
2065-10-01: Prediction: 10.89 inches, Lower -109.88 inches, Upper 131.66 inches
2066-10-01: Prediction: 16.09 inches, Lower -105.07 inches, Upper 137.25 inches
2067-10-01: Prediction: 16.12 inches, Lower -105.43 inches, Upper 137.67 inches
2068-10-01: Prediction: 10.85 inches, Lower -111.09 inches, Upper 132.78 inches
2069-10-01: Prediction: 11.15 inches, Lower -111.17 inches, Upper 133.48 inches
2070-10-01: Prediction: 5.22 inches, Lower -117.49 inches, Upper 127.92 inches
2071-10-01: Prediction: 9.19 inches, Lower -113.90 inches, Upper 132.28 inches
2072-10-01: Prediction: 15.24 inches, Lower -108.24 inches, Upper 138.71 inches
2073-10-01: Prediction: 11.47 inches, Lower -112.38 inches, Upper 135.33 inches
2074-10-01: Prediction: 10.32 inches, Lower -114.16 inches, Upper 134.79 inches
2075-10-01: Prediction: 12.00 inches, Lower -112.88 inches, Upper 136.87 inches
2076-10-01: Prediction: 6.88 inches, Lower -118.40 inches, Upper 132.16 inches
2077-10-01: Prediction: 10.26 inches, Lower -115.42 inches, Upper 135.93 inches
2078-10-01: Prediction: 15.46 inches, Lower -110.61 inches, Upper 141.53 inches
2079-10-01: Prediction: 15.49 inches, Lower -110.98 inches, Upper 141.95 inches
2080-10-01: Prediction: 10.22 inches, Lower -116.64 inches, Upper 137.08 inches
2081-10-01: Prediction: 10.52 inches, Lower -116.73 inches, Upper 137.77 inches
2082-10-01: Prediction: 4.59 inches, Lower -123.06 inches, Upper 132.23 inches
2083-10-01: Prediction: 8.56 inches, Lower -119.48 inches, Upper 136.59 inches
2084-10-01: Prediction: 14.61 inches, Lower -113.81 inches, Upper 143.03 inches
2085-10-01: Prediction: 10.84 inches, Lower -117.96 inches, Upper 139.65 inches
2086-10-01: Prediction: 9.69 inches, Lower -119.75 inches, Upper 139.12 inches
2087-10-01: Prediction: 11.37 inches, Lower -118.48 inches, Upper 141.21 inches
2088-10-01: Prediction: 6.25 inches, Lower -124.00 inches, Upper 136.50 inches
2089-10-01: Prediction: 9.63 inches, Lower -121.02 inches, Upper 140.27 inches
2090-10-01: Prediction: 14.83 inches, Lower -116.22 inches, Upper 145.88 inches
2091-10-01: Prediction: 14.86 inches, Lower -116.60 inches, Upper 146.31 inches
2092-10-01: Prediction: 9.59 inches, Lower -122.26 inches, Upper 141.44 inches
2093-10-01: Prediction: 9.89 inches, Lower -122.36 inches, Upper 142.14 inches
2094-10-01: Prediction: 3.96 inches, Lower -128.69 inches, Upper 136.60 inches
2095-10-01: Prediction: 7.92 inches, Lower -125.12 inches, Upper 140.97 inches
2096-10-01: Prediction: 13.98 inches, Lower -119.46 inches, Upper 147.41 inches
2097-10-01: Prediction: 10.21 inches, Lower -123.62 inches, Upper 144.04 inches
2098-10-01: Prediction: 9.05 inches, Lower -125.40 inches, Upper 143.51 inches
2099-10-01: Prediction: 10.73 inches, Lower -124.14 inches, Upper 145.61 inches
2100-10-01: Prediction: 5.62 inches, Lower -129.66 inches, Upper 140.90 inches
2101-10-01: Prediction: 8.99 inches, Lower -126.70 inches, Upper 144.69 inches
2102-10-01: Prediction: 14.20 inches, Lower -121.90 inches, Upper 150.30 inches
2103-10-01: Prediction: 14.22 inches, Lower -122.28 inches, Upper 150.73 inches
2104-10-01: Prediction: 8.96 inches, Lower -127.96 inches, Upper 145.87 inches
2105-10-01: Prediction: 9.26 inches, Lower -128.06 inches, Upper 146.58 inches
2106-10-01: Prediction: 3.33 inches, Lower -134.40 inches, Upper 141.05 inches
