County,TotalPrecipitation_inches,WaterYear,x_coord,y_coord
Tehama,39.51,1951,-122.7809112,39.93636855
Tehama,42.65,1952,-122.7809112,39.93636855
Tehama,44.09,1953,-122.7809112,39.93636855
Tehama,41.92,1954,-122.7809112,39.93636855
Tehama,28.42,1955,-122.7809112,39.93636855
Tehama,58.65,1956,-122.7809112,39.93636855
Tehama,30.18,1957,-122.7809112,39.93636855
Tehama,64.4,1958,-122.7809112,39.93636855
Tehama,29.02,1959,-122.7809112,39.93636855
Tehama,37.0,1960,-122.7809112,39.93636855
Tehama,32.17,1961,-122.7809112,39.93636855
Tehama,36.37,1962,-122.7809112,39.93636855
Tehama,47.55,1963,-122.7809112,39.93636855
Tehama,27.71,1964,-122.7809112,39.93636855
Tehama,58.26,1965,-122.7809112,39.93636855
Tehama,36.55,1966,-122.7809112,39.93636855
Tehama,49.57,1967,-122.7809112,39.93636855
Tehama,39.84,1968,-122.7809112,39.93636855
Tehama,82.22,1969,-122.7809112,39.93636855
Tehama,47.58,1970,-122.7809112,39.93636855
Tehama,51.18,1971,-122.7809112,39.93636855
Tehama,32.28,1972,-122.7809112,39.93636855
Tehama,52.48,1973,-122.7809112,39.93636855
Tehama,65.24,1974,-122.7809112,39.93636855
Tehama,51.12,1975,-122.7809112,39.93636855
Tehama,25.03,1976,-122.7809112,39.93636855
Tehama,23.27,1977,-122.7809112,39.93636855
Tehama,24.689999999999998,1978,-122.7809112,39.93636855
Tehama,26.11,1979,-122.7809112,39.93636855
Tehama,47.3,1980,-122.7809112,39.93636855
Tehama,31.8,1981,-122.7809112,39.93636855
Tehama,61.45,1982,-122.7809112,39.93636855
Tehama,94.95,1983,-122.7809112,39.93636855
Tehama,64.875,1984,-122.7809112,39.93636855
Tehama,34.8,1985,-122.7809112,39.93636855
Tehama,49.53,1986,-122.7809112,39.93636855
Tehama,28.65,1987,-122.7809112,39.93636855
Tehama,35.3,1988,-122.7809112,39.93636855
Tehama,34.8,1989,-122.7809112,39.93636855
Tehama,27.45,1990,-122.7809112,39.93636855
Tehama,20.7,1991,-122.7809112,39.93636855
Tehama,36.99,1992,-122.7809112,39.93636855
Tehama,60.54,1993,-122.7809112,39.93636855
Tehama,22.5,1994,-122.7809112,39.93636855
Tehama,64.85,1995,-122.7809112,39.93636855
Tehama,43.1,1996,-122.7809112,39.93636855
Tehama,37.55,1997,-122.7809112,39.93636855
Tehama,82.05,1998,-122.7809112,39.93636855
Tehama,27.9,1999,-122.7809112,39.93636855
Tehama,36.55,2000,-122.7809112,39.93636855
Tehama,28.7,2001,-122.7809112,39.93636855
Tehama,29.25,2002,-122.7809112,39.93636855
Tehama,42.32,2003,-122.7809112,39.93636855
Tehama,31.93,2004,-122.7809112,39.93636855
Tehama,41.8,2005,-122.7809112,39.93636855
Tehama,55.9,2006,-122.7809112,39.93636855
Tehama,20.65,2007,-122.7809112,39.93636855
Tehama,29.28,2008,-122.7809112,39.93636855
Tehama,18.4,2009,-122.7809112,39.93636855
Tehama,39.31,2010,-122.7809112,39.93636855
Tehama,29.835,2011,-122.7809112,39.93636855
Tehama,20.36,2012,-122.7809112,39.93636855
Tehama,22.73,2013,-122.7809112,39.93636855
Tehama,12.75,2014,-122.7809112,39.93636855
Tehama,23.35,2015,-122.7809112,39.93636855
Tehama,29.59,2016,-122.7809112,39.93636855
Tehama,44.47,2017,-122.7809112,39.93636855
Tehama,20.06,2018,-122.7809112,39.93636855
Tehama,46.48,2019,-122.7809112,39.93636855
Tehama,13.46,2020,-122.7809112,39.93636855
Tehama,9.34,2021,-122.7809112,39.93636855
Tehama,16.51,2022,-122.7809112,39.93636855
Tehama,48.24,2023,-122.7809112,39.93636855
Lassen,25.12,1948,-121.1998423,40.77003454
Lassen,16.0,1949,-121.1998423,40.77003454
Lassen,21.36,1950,-121.1998423,40.77003454
Lassen,22.03,1951,-121.1998423,40.77003454
Lassen,28.06,1952,-121.1998423,40.77003454
Lassen,22.53,1953,-121.1998423,40.77003454
Lassen,18.07,1954,-121.1998423,40.77003454
Lassen,14.06,1955,-121.1998423,40.77003454
Lassen,31.37,1956,-121.1998423,40.77003454
Lassen,21.61,1957,-121.1998423,40.77003454
Lassen,28.75,1958,-121.1998423,40.77003454
Lassen,16.43,1959,-121.1998423,40.77003454
Lassen,16.45,1960,-121.1998423,40.77003454
Lassen,21.19,1961,-121.1998423,40.77003454
Lassen,20.4,1962,-121.1998423,40.77003454
Lassen,30.8,1963,-121.1998423,40.77003454
Lassen,22.97,1964,-121.1998423,40.77003454
Lassen,30.35,1965,-121.1998423,40.77003454
Lassen,17.15,1966,-121.1998423,40.77003454
Lassen,28.73,1967,-121.1998423,40.77003454
Lassen,21.69,1968,-121.1998423,40.77003454
Lassen,29.64,1969,-121.1998423,40.77003454
Lassen,25.08,1970,-121.1998423,40.77003454
Lassen,34.14,1971,-121.1998423,40.77003454
Lassen,20.06,1972,-121.1998423,40.77003454
Lassen,24.14,1973,-121.1998423,40.77003454
Lassen,28.23,1974,-121.1998423,40.77003454
Lassen,33.06,1975,-121.1998423,40.77003454
Lassen,17.41,1976,-121.1998423,40.77003454
Lassen,16.06,1977,-121.1998423,40.77003454
Lassen,27.68,1978,-121.1998423,40.77003454
Lassen,21.6,1979,-121.1998423,40.77003454
Lassen,30.45,1980,-121.1998423,40.77003454
Lassen,21.25,1981,-121.1998423,40.77003454
Lassen,39.1,1982,-121.1998423,40.77003454
Lassen,37.75,1983,-121.1998423,40.77003454
Lassen,28.85,1984,-121.1998423,40.77003454
Lassen,22.87,1985,-121.1998423,40.77003454
Lassen,30.85,1986,-121.1998423,40.77003454
Lassen,22.6,1987,-121.1998423,40.77003454
Lassen,18.5,1988,-121.1998423,40.77003454
Lassen,25.1,1989,-121.1998423,40.77003454
Lassen,23.9,1990,-121.1998423,40.77003454
Lassen,26.0,1991,-121.1998423,40.77003454
Lassen,14.9,1992,-121.1998423,40.77003454
Lassen,36.64,1993,-121.1998423,40.77003454
Lassen,22.79,1994,-121.1998423,40.77003454
Lassen,47.17,1995,-121.1998423,40.77003454
Lassen,28.4,1996,-121.1998423,40.77003454
Lassen,29.6,1997,-121.1998423,40.77003454
Lassen,39.35,1998,-121.1998423,40.77003454
Lassen,24.6,1999,-121.1998423,40.77003454
Lassen,20.44,2000,-121.1998423,40.77003454
Lassen,15.3,2001,-121.1998423,40.77003454
Lassen,21.65,2002,-121.1998423,40.77003454
Lassen,25.1,2003,-121.1998423,40.77003454
Lassen,20.8,2004,-121.1998423,40.77003454
Lassen,24.35,2005,-121.1998423,40.77003454
Lassen,32.45,2006,-121.1998423,40.77003454
Lassen,19.01,2007,-121.1998423,40.77003454
Lassen,18.85,2008,-121.1998423,40.77003454
Lassen,20.84,2009,-121.1998423,40.77003454
Lassen,24.04,2010,-121.1998423,40.77003454
Lassen,34.81,2011,-121.1998423,40.77003454
Lassen,17.71,2012,-121.1998423,40.77003454
Lassen,15.81,2013,-121.1998423,40.77003454
Lassen,15.18,2014,-121.1998423,40.77003454
Lassen,19.45,2015,-121.1998423,40.77003454
Lassen,30.04,2016,-121.1998423,40.77003454
Lassen,33.73,2017,-121.1998423,40.77003454
Lassen,22.34,2018,-121.1998423,40.77003454
Lassen,31.87,2019,-121.1998423,40.77003454
Lassen,16.72,2020,-121.1998423,40.77003454
Lassen,24.386666666666667,2021,-121.1998423,40.77003454
Lassen,32.053333333333335,2022,-121.1998423,40.77003454
Lassen,39.72,2023,-121.1998423,40.77003454
Plumas,30.45,1970,-121.1998423,40.77003454
Plumas,35.38,1971,-121.1998423,40.77003454
Plumas,21.12,1972,-121.1998423,40.77003454
Plumas,22.07,1973,-121.1998423,40.77003454
Plumas,35.07,1974,-121.1998423,40.77003454
Plumas,27.89,1975,-121.1998423,40.77003454
Plumas,16.83,1976,-121.1998423,40.77003454
Plumas,10.91,1977,-121.1998423,40.77003454
Plumas,28.04,1978,-121.1998423,40.77003454
Plumas,17.0,1979,-121.1998423,40.77003454
Plumas,32.21,1980,-121.1998423,40.77003454
Plumas,16.91,1981,-121.1998423,40.77003454
Plumas,42.6,1982,-121.1998423,40.77003454
Plumas,42.94,1983,-121.1998423,40.77003454
Plumas,28.78,1984,-121.1998423,40.77003454
Plumas,19.58,1985,-121.1998423,40.77003454
Plumas,33.95,1986,-121.1998423,40.77003454
Plumas,17.57,1987,-121.1998423,40.77003454
Plumas,11.28,1988,-121.1998423,40.77003454
Plumas,24.0,1989,-121.1998423,40.77003454
Plumas,18.42,1990,-121.1998423,40.77003454
Plumas,17.55,1991,-121.1998423,40.77003454
Plumas,14.35,1992,-121.1998423,40.77003454
Plumas,32.49,1993,-121.1998423,40.77003454
Plumas,12.51,1994,-121.1998423,40.77003454
Plumas,46.45,1995,-121.1998423,40.77003454
Plumas,30.45,1996,-121.1998423,40.77003454
Plumas,34.45,1997,-121.1998423,40.77003454
Plumas,32.3,1998,-121.1998423,40.77003454
Plumas,26.45,1999,-121.1998423,40.77003454
Plumas,22.5,2000,-121.1998423,40.77003454
Plumas,10.75,2001,-121.1998423,40.77003454
Plumas,19.75,2002,-121.1998423,40.77003454
Plumas,20.8,2003,-121.1998423,40.77003454
Plumas,20.5,2004,-121.1998423,40.77003454
Plumas,21.75,2005,-121.1998423,40.77003454
Plumas,37.2,2006,-121.1998423,40.77003454
Plumas,16.45,2007,-121.1998423,40.77003454
Plumas,12.81,2008,-121.1998423,40.77003454
