Precipitation Forecast for Boulder Creek Station:
2024-10-01: Prediction: 22.27 inches, Lower -23730155731.12 inches, Upper 23730155775.67 inches
2025-10-01: Prediction: 29.53 inches, Lower -23733285160.31 inches, Upper 23733285219.37 inches
2026-10-01: Prediction: 20.52 inches, Lower -26124375788.21 inches, Upper 26124375829.26 inches
2027-10-01: Prediction: 24.54 inches, Lower -26722023556.88 inches, Upper 26722023605.97 inches
2028-10-01: Prediction: 31.94 inches, Lower -27923730148.45 inches, Upper 27923730212.33 inches
2029-10-01: Prediction: 50.89 inches, Lower -28773076233.59 inches, Upper 28773076335.38 inches
2030-10-01: Prediction: 28.58 inches, Lower -29730735560.99 inches, Upper 29730735618.15 inches
2031-10-01: Prediction: 36.88 inches, Lower -30597050647.93 inches, Upper 30597050721.69 inches
2032-10-01: Prediction: 22.12 inches, Lower -31467290215.87 inches, Upper 31467290260.12 inches
2033-10-01: Prediction: 29.29 inches, Lower -32301366422.94 inches, Upper 32301366481.53 inches
2034-10-01: Prediction: 36.46 inches, Lower -33120252763.02 inches, Upper 33120252835.95 inches
2035-10-01: Prediction: 43.63 inches, Lower -33916712673.55 inches, Upper 33916712760.82 inches
2036-10-01: Prediction: 29.03 inches, Lower -45978340584.25 inches, Upper 45978340642.30 inches
2037-10-01: Prediction: 36.28 inches, Lower -46496870022.85 inches, Upper 46496870095.41 inches
2038-10-01: Prediction: 27.28 inches, Lower -49942838964.61 inches, Upper 49942839019.17 inches
2039-10-01: Prediction: 31.30 inches, Lower -51589625847.67 inches, Upper 51589625910.26 inches
2040-10-01: Prediction: 38.69 inches, Lower -53843291211.93 inches, Upper 53843291289.31 inches
2041-10-01: Prediction: 57.65 inches, Lower -55697135672.51 inches, Upper 55697135787.80 inches
2042-10-01: Prediction: 35.33 inches, Lower -57628936680.91 inches, Upper 57628936751.57 inches
2043-10-01: Prediction: 43.63 inches, Lower -59434946660.01 inches, Upper 59434946747.27 inches
2044-10-01: Prediction: 28.88 inches, Lower -61216280243.84 inches, Upper 61216280301.59 inches
2045-10-01: Prediction: 36.04 inches, Lower -62934157298.78 inches, Upper 62934157370.87 inches
2046-10-01: Prediction: 43.21 inches, Lower -64612333053.79 inches, Upper 64612333140.22 inches
2047-10-01: Prediction: 50.38 inches, Lower -66245285079.83 inches, Upper 66245285180.60 inches
2048-10-01: Prediction: 35.78 inches, Lower -76547099108.36 inches, Upper 76547099179.92 inches
2049-10-01: Prediction: 43.03 inches, Lower -77859560399.17 inches, Upper 77859560485.24 inches
2050-10-01: Prediction: 34.03 inches, Lower -81941712898.76 inches, Upper 81941712966.82 inches
2051-10-01: Prediction: 38.05 inches, Lower -84404782508.15 inches, Upper 84404782584.25 inches
2052-10-01: Prediction: 45.44 inches, Lower -87410631274.61 inches, Upper 87410631365.50 inches
2053-10-01: Prediction: 64.40 inches, Lower -90030580284.12 inches, Upper 90030580412.92 inches
