Precipitation Forecast for Camel Peak Station:
2024-10-01: Prediction: 9.52 inches, Lower -992119640.75 inches, Upper 992119659.80 inches
2025-10-01: Prediction: -12.89 inches, Lower -996864284.14 inches, Upper 996864258.36 inches
2026-10-01: Prediction: -11.11 inches, Lower -1080376252.17 inches, Upper 1080376229.95 inches
2027-10-01: Prediction: 8.89 inches, Lower -1121938450.78 inches, Upper 1121938468.56 inches
2028-10-01: Prediction: 32.28 inches, Lower -1173259565.73 inches, Upper 1173259630.29 inches
2029-10-01: Prediction: 59.72 inches, Lower -1218433605.27 inches, Upper 1218433724.72 inches
2030-10-01: Prediction: 7.88 inches, Lower -1263350223.13 inches, Upper 1263350238.88 inches
2031-10-01: Prediction: -0.69 inches, Lower -1306252912.77 inches, Upper 1306252911.38 inches
2032-10-01: Prediction: -9.21 inches, Lower -1347953191.42 inches, Upper 1347953172.99 inches
2033-10-01: Prediction: -17.75 inches, Lower -1388345223.72 inches, Upper 1388345188.22 inches
2034-10-01: Prediction: -26.28 inches, Lower -1427614423.04 inches, Upper 1427614370.48 inches
2035-10-01: Prediction: -34.81 inches, Lower -1465825194.47 inches, Upper 1465825124.85 inches
2036-10-01: Prediction: -44.98 inches, Lower -1975678661.93 inches, Upper 1975678571.97 inches
2037-10-01: Prediction: -67.39 inches, Lower -2021858491.26 inches, Upper 2021858356.48 inches
2038-10-01: Prediction: -65.61 inches, Lower -2156139769.47 inches, Upper 2156139638.24 inches
2039-10-01: Prediction: -45.61 inches, Lower -2247718394.41 inches, Upper 2247718303.18 inches
2040-10-01: Prediction: -22.22 inches, Lower -2347091704.80 inches, Upper 2347091660.36 inches
2041-10-01: Prediction: 5.22 inches, Lower -2438450599.07 inches, Upper 2438450609.51 inches
2042-10-01: Prediction: -46.62 inches, Lower -2527868213.15 inches, Upper 2527868119.90 inches
2043-10-01: Prediction: -55.20 inches, Lower -2613758747.33 inches, Upper 2613758636.94 inches
2044-10-01: Prediction: -63.71 inches, Lower -2697077785.59 inches, Upper 2697077658.16 inches
2045-10-01: Prediction: -72.25 inches, Lower -2777842586.98 inches, Upper 2777842442.48 inches
2046-10-01: Prediction: -80.78 inches, Lower -2856344158.46 inches, Upper 2856343996.90 inches
2047-10-01: Prediction: -89.31 inches, Lower -2932738417.16 inches, Upper 2932738238.54 inches
2048-10-01: Prediction: -99.48 inches, Lower -3368546353.09 inches, Upper 3368546154.13 inches
2049-10-01: Prediction: -121.89 inches, Lower -3453695187.19 inches, Upper 3453694943.41 inches
2050-10-01: Prediction: -120.11 inches, Lower -3619077388.66 inches, Upper 3619077148.43 inches
2051-10-01: Prediction: -100.11 inches, Lower -3746187164.03 inches, Upper 3746186963.80 inches
2052-10-01: Prediction: -76.72 inches, Lower -3879492316.09 inches, Upper 3879492162.65 inches
2053-10-01: Prediction: -49.28 inches, Lower -4004741369.84 inches, Upper 4004741271.28 inches
2054-10-01: Prediction: -101.13 inches, Lower -4127440422.93 inches, Upper 4127440220.68 inches
2055-10-01: Prediction: -109.70 inches, Lower -4246161477.10 inches, Upper 4246161257.70 inches
2056-10-01: Prediction: -118.22 inches, Lower -4361802986.83 inches, Upper 4361802750.40 inches
2057-10-01: Prediction: -126.75 inches, Lower -4474404307.97 inches, Upper 4474404054.47 inches
2058-10-01: Prediction: -135.28 inches, Lower -4584258938.27 inches, Upper 4584258667.71 inches
2059-10-01: Prediction: -143.81 inches, Lower -4691535607.08 inches, Upper 4691535319.45 inches
2060-10-01: Prediction: -153.98 inches, Lower -5096005793.14 inches, Upper 5096005485.17 inches
2061-10-01: Prediction: -176.39 inches, Lower -5212256023.18 inches, Upper 5212255670.39 inches
2062-10-01: Prediction: -174.62 inches, Lower -5400660964.11 inches, Upper 5400660614.88 inches
2063-10-01: Prediction: -154.62 inches, Lower -5554940625.81 inches, Upper 5554940316.58 inches
2064-10-01: Prediction: -131.22 inches, Lower -5714453615.73 inches, Upper 5714453353.28 inches
2065-10-01: Prediction: -103.78 inches, Lower -5866335774.87 inches, Upper 5866335567.31 inches
2066-10-01: Prediction: -155.63 inches, Lower -6015527627.35 inches, Upper 6015527316.10 inches
2067-10-01: Prediction: -164.20 inches, Lower -6160708789.80 inches, Upper 6160708461.40 inches
2068-10-01: Prediction: -172.72 inches, Lower -6302685663.02 inches, Upper 6302685317.58 inches
2069-10-01: Prediction: -181.26 inches, Lower -6441485426.09 inches, Upper 6441485063.58 inches
2070-10-01: Prediction: -189.78 inches, Lower -6577373772.13 inches, Upper 6577373392.56 inches
2071-10-01: Prediction: -198.32 inches, Lower -6710504995.77 inches, Upper 6710504599.14 inches
2072-10-01: Prediction: -208.49 inches, Lower -7100943340.21 inches, Upper 7100942923.24 inches
2073-10-01: Prediction: -230.90 inches, Lower -7242948127.90 inches, Upper 7242947666.11 inches
2074-10-01: Prediction: -229.12 inches, Lower -7450555041.53 inches, Upper 7450554583.30 inches
2075-10-01: Prediction: -209.12 inches, Lower -7627329667.40 inches, Upper 7627329249.17 inches
2076-10-01: Prediction: -185.73 inches, Lower -7808711581.84 inches, Upper 7808711210.39 inches
2077-10-01: Prediction: -158.28 inches, Lower -7982947193.13 inches, Upper 7982946876.56 inches
2078-10-01: Prediction: -210.13 inches, Lower -8154515367.64 inches, Upper 8154514947.38 inches
2079-10-01: Prediction: -218.70 inches, Lower -8322178194.64 inches, Upper 8322177757.23 inches
2080-10-01: Prediction: -227.22 inches, Lower -8486658411.73 inches, Upper 8486657957.29 inches
2081-10-01: Prediction: -235.76 inches, Lower -8647965644.56 inches, Upper 8647965173.04 inches
2082-10-01: Prediction: -244.29 inches, Lower -8806334522.78 inches, Upper 8806334034.20 inches
2083-10-01: Prediction: -252.82 inches, Lower -8961899690.33 inches, Upper 8961899184.69 inches
2084-10-01: Prediction: -262.99 inches, Lower -9346820152.53 inches, Upper 9346819626.56 inches
2085-10-01: Prediction: -285.40 inches, Lower -9511027454.48 inches, Upper 9511026883.68 inches
2086-10-01: Prediction: -283.62 inches, Lower -9735614745.59 inches, Upper 9735614178.35 inches
2087-10-01: Prediction: -263.62 inches, Lower -9931962261.42 inches, Upper 9931961734.18 inches
2088-10-01: Prediction: -240.23 inches, Lower -10132473960.25 inches, Upper 10132473479.79 inches
2089-10-01: Prediction: -212.79 inches, Lower -10326286042.56 inches, Upper 10326285616.99 inches
2090-10-01: Prediction: -264.63 inches, Lower -10517508629.77 inches, Upper 10517508100.51 inches
2091-10-01: Prediction: -273.21 inches, Lower -10704971612.09 inches, Upper 10704971065.68 inches
2092-10-01: Prediction: -281.72 inches, Lower -10889328591.83 inches, Upper 10889328028.38 inches
2093-10-01: Prediction: -290.26 inches, Lower -11070573534.76 inches, Upper 11070572954.24 inches
2094-10-01: Prediction: -298.79 inches, Lower -11248913484.02 inches, Upper 11248912886.44 inches
2095-10-01: Prediction: -307.32 inches, Lower -11424464592.58 inches, Upper 11424463977.94 inches
2096-10-01: Prediction: -317.49 inches, Lower -11808547987.07 inches, Upper 11808547352.09 inches
2097-10-01: Prediction: -339.90 inches, Lower -11992465485.01 inches, Upper 11992464805.21 inches
2098-10-01: Prediction: -338.12 inches, Lower -12232538149.59 inches, Upper 12232537473.35 inches
2099-10-01: Prediction: -318.12 inches, Lower -12446449030.42 inches, Upper 12446448394.17 inches
2100-10-01: Prediction: -294.73 inches, Lower -12664190249.53 inches, Upper 12664189660.07 inches
2101-10-01: Prediction: -267.29 inches, Lower -12875623738.20 inches, Upper 12875623203.63 inches
2102-10-01: Prediction: -319.14 inches, Lower -13084561586.56 inches, Upper 13084560948.28 inches
2103-10-01: Prediction: -327.71 inches, Lower -13289891395.99 inches, Upper 13289890740.58 inches
