Precipitation Forecast for Dewitt Peak Station:
2024-10-01: Prediction: 12.80 inches, Lower -5.30 inches, Upper 30.91 inches
2025-10-01: Prediction: 14.58 inches, Lower -3.51 inches, Upper 32.67 inches
2026-10-01: Prediction: 16.13 inches, Lower -2.07 inches, Upper 34.33 inches
2027-10-01: Prediction: 21.02 inches, Lower 2.73 inches, Upper 39.31 inches
2028-10-01: Prediction: 18.50 inches, Lower 0.11 inches, Upper 36.88 inches
2029-10-01: Prediction: 28.57 inches, Lower 10.09 inches, Upper 47.04 inches
2030-10-01: Prediction: 25.44 inches, Lower 6.87 inches, Upper 44.01 inches
2031-10-01: Prediction: 32.11 inches, Lower 13.45 inches, Upper 50.77 inches
2032-10-01: Prediction: 16.57 inches, Lower -2.18 inches, Upper 35.32 inches
2033-10-01: Prediction: 17.86 inches, Lower -0.99 inches, Upper 36.70 inches
2034-10-01: Prediction: 26.34 inches, Lower 7.47 inches, Upper 45.22 inches
2035-10-01: Prediction: 20.93 inches, Lower 1.98 inches, Upper 39.87 inches
2036-10-01: Prediction: 12.66 inches, Lower -6.94 inches, Upper 32.27 inches
2037-10-01: Prediction: 13.53 inches, Lower -6.16 inches, Upper 33.22 inches
2038-10-01: Prediction: 15.17 inches, Lower -4.64 inches, Upper 34.97 inches
2039-10-01: Prediction: 20.05 inches, Lower 0.13 inches, Upper 39.97 inches
2040-10-01: Prediction: 17.53 inches, Lower -2.51 inches, Upper 37.56 inches
2041-10-01: Prediction: 27.60 inches, Lower 7.45 inches, Upper 47.75 inches
2042-10-01: Prediction: 24.47 inches, Lower 4.20 inches, Upper 44.73 inches
2043-10-01: Prediction: 31.14 inches, Lower 10.77 inches, Upper 51.52 inches
2044-10-01: Prediction: 15.60 inches, Lower -4.89 inches, Upper 36.08 inches
2045-10-01: Prediction: 16.89 inches, Lower -3.71 inches, Upper 37.48 inches
2046-10-01: Prediction: 25.37 inches, Lower 4.66 inches, Upper 46.09 inches
2047-10-01: Prediction: 19.96 inches, Lower -0.84 inches, Upper 40.75 inches
2048-10-01: Prediction: 11.69 inches, Lower -9.79 inches, Upper 33.18 inches
2049-10-01: Prediction: 12.56 inches, Lower -9.02 inches, Upper 34.15 inches
2050-10-01: Prediction: 14.20 inches, Lower -7.52 inches, Upper 35.92 inches
2051-10-01: Prediction: 19.08 inches, Lower -2.77 inches, Upper 40.93 inches
2052-10-01: Prediction: 16.56 inches, Lower -5.42 inches, Upper 38.54 inches
2053-10-01: Prediction: 26.63 inches, Lower 4.52 inches, Upper 48.74 inches
2054-10-01: Prediction: 23.50 inches, Lower 1.26 inches, Upper 45.73 inches
2055-10-01: Prediction: 30.17 inches, Lower 7.81 inches, Upper 52.54 inches
2056-10-01: Prediction: 14.63 inches, Lower -7.86 inches, Upper 37.12 inches
2057-10-01: Prediction: 15.92 inches, Lower -6.70 inches, Upper 38.54 inches
2058-10-01: Prediction: 24.40 inches, Lower 1.59 inches, Upper 47.22 inches
2059-10-01: Prediction: 18.99 inches, Lower -3.91 inches, Upper 41.88 inches
2060-10-01: Prediction: 10.72 inches, Lower -12.88 inches, Upper 34.33 inches
2061-10-01: Prediction: 11.59 inches, Lower -12.12 inches, Upper 35.31 inches
2062-10-01: Prediction: 13.23 inches, Lower -10.63 inches, Upper 37.09 inches
2063-10-01: Prediction: 18.11 inches, Lower -5.89 inches, Upper 42.12 inches
2064-10-01: Prediction: 15.59 inches, Lower -8.56 inches, Upper 39.74 inches
2065-10-01: Prediction: 25.66 inches, Lower 1.37 inches, Upper 49.94 inches
2066-10-01: Prediction: 22.53 inches, Lower -1.90 inches, Upper 46.95 inches
2067-10-01: Prediction: 29.20 inches, Lower 4.64 inches, Upper 53.77 inches
2068-10-01: Prediction: 13.66 inches, Lower -11.05 inches, Upper 38.36 inches
2069-10-01: Prediction: 14.95 inches, Lower -9.89 inches, Upper 39.79 inches
2070-10-01: Prediction: 23.43 inches, Lower -1.66 inches, Upper 48.53 inches
2071-10-01: Prediction: 18.02 inches, Lower -7.17 inches, Upper 43.20 inches
2072-10-01: Prediction: 9.75 inches, Lower -16.15 inches, Upper 35.66 inches
2073-10-01: Prediction: 10.62 inches, Lower -15.40 inches, Upper 36.65 inches
2074-10-01: Prediction: 12.26 inches, Lower -13.92 inches, Upper 38.44 inches
2075-10-01: Prediction: 17.14 inches, Lower -9.19 inches, Upper 43.47 inches
2076-10-01: Prediction: 14.62 inches, Lower -11.86 inches, Upper 41.10 inches
2077-10-01: Prediction: 24.69 inches, Lower -1.94 inches, Upper 51.32 inches
2078-10-01: Prediction: 21.56 inches, Lower -5.22 inches, Upper 48.34 inches
2079-10-01: Prediction: 28.23 inches, Lower 1.30 inches, Upper 55.16 inches
2080-10-01: Prediction: 12.69 inches, Lower -14.39 inches, Upper 39.76 inches
2081-10-01: Prediction: 13.98 inches, Lower -13.24 inches, Upper 41.20 inches
2082-10-01: Prediction: 22.47 inches, Lower -5.05 inches, Upper 49.99 inches
2083-10-01: Prediction: 17.05 inches, Lower -10.57 inches, Upper 44.66 inches
2084-10-01: Prediction: 8.78 inches, Lower -19.56 inches, Upper 37.13 inches
2085-10-01: Prediction: 9.65 inches, Lower -18.81 inches, Upper 38.12 inches
2086-10-01: Prediction: 11.29 inches, Lower -17.34 inches, Upper 39.91 inches
2087-10-01: Prediction: 16.17 inches, Lower -12.61 inches, Upper 44.96 inches
2088-10-01: Prediction: 13.65 inches, Lower -15.29 inches, Upper 42.59 inches
2089-10-01: Prediction: 23.72 inches, Lower -5.38 inches, Upper 52.82 inches
2090-10-01: Prediction: 20.59 inches, Lower -8.67 inches, Upper 49.84 inches
2091-10-01: Prediction: 27.26 inches, Lower -2.15 inches, Upper 56.67 inches
2092-10-01: Prediction: 11.72 inches, Lower -17.85 inches, Upper 41.28 inches
2093-10-01: Prediction: 13.01 inches, Lower -16.71 inches, Upper 42.73 inches
2094-10-01: Prediction: 21.50 inches, Lower -8.56 inches, Upper 51.55 inches
2095-10-01: Prediction: 16.08 inches, Lower -14.08 inches, Upper 46.23 inches
2096-10-01: Prediction: 7.81 inches, Lower -23.07 inches, Upper 38.70 inches
2097-10-01: Prediction: 8.68 inches, Lower -22.32 inches, Upper 39.69 inches
2098-10-01: Prediction: 10.32 inches, Lower -20.86 inches, Upper 41.49 inches
2099-10-01: Prediction: 15.20 inches, Lower -16.14 inches, Upper 46.54 inches
2100-10-01: Prediction: 12.68 inches, Lower -18.82 inches, Upper 44.18 inches
2101-10-01: Prediction: 22.75 inches, Lower -8.92 inches, Upper 54.41 inches
2102-10-01: Prediction: 19.62 inches, Lower -12.21 inches, Upper 51.44 inches
2103-10-01: Prediction: 26.29 inches, Lower -5.69 inches, Upper 58.28 inches
