Precipitation Forecast for Dodge Reservoir Station:
2024-10-01: Prediction: 11.46 inches, Lower 3.84 inches, Upper 19.09 inches
2025-10-01: Prediction: 13.44 inches, Lower 5.82 inches, Upper 21.07 inches
2026-10-01: Prediction: 12.70 inches, Lower 4.91 inches, Upper 20.48 inches
2027-10-01: Prediction: 13.37 inches, Lower 5.48 inches, Upper 21.26 inches
2028-10-01: Prediction: 14.80 inches, Lower 6.79 inches, Upper 22.81 inches
2029-10-01: Prediction: 17.79 inches, Lower 9.67 inches, Upper 25.91 inches
2030-10-01: Prediction: 15.88 inches, Lower 7.65 inches, Upper 24.12 inches
2031-10-01: Prediction: 19.65 inches, Lower 11.31 inches, Upper 28.00 inches
2032-10-01: Prediction: 16.19 inches, Lower 7.77 inches, Upper 24.62 inches
2033-10-01: Prediction: 14.92 inches, Lower 6.41 inches, Upper 23.44 inches
2034-10-01: Prediction: 17.42 inches, Lower 8.80 inches, Upper 26.04 inches
2035-10-01: Prediction: 17.61 inches, Lower 8.88 inches, Upper 26.33 inches
2036-10-01: Prediction: 12.64 inches, Lower 3.53 inches, Upper 21.75 inches
2037-10-01: Prediction: 14.10 inches, Lower 4.89 inches, Upper 23.32 inches
2038-10-01: Prediction: 13.45 inches, Lower 4.10 inches, Upper 22.80 inches
2039-10-01: Prediction: 14.11 inches, Lower 4.63 inches, Upper 23.59 inches
2040-10-01: Prediction: 15.54 inches, Lower 5.93 inches, Upper 25.15 inches
2041-10-01: Prediction: 18.53 inches, Lower 8.79 inches, Upper 28.27 inches
2042-10-01: Prediction: 16.62 inches, Lower 6.76 inches, Upper 26.48 inches
2043-10-01: Prediction: 20.39 inches, Lower 10.41 inches, Upper 30.38 inches
2044-10-01: Prediction: 16.93 inches, Lower 6.83 inches, Upper 27.04 inches
2045-10-01: Prediction: 15.66 inches, Lower 5.46 inches, Upper 25.87 inches
2046-10-01: Prediction: 18.16 inches, Lower 7.85 inches, Upper 28.48 inches
2047-10-01: Prediction: 18.35 inches, Lower 7.92 inches, Upper 28.78 inches
2048-10-01: Prediction: 13.38 inches, Lower 2.57 inches, Upper 24.19 inches
2049-10-01: Prediction: 14.85 inches, Lower 3.92 inches, Upper 25.77 inches
2050-10-01: Prediction: 14.19 inches, Lower 3.13 inches, Upper 25.26 inches
2051-10-01: Prediction: 14.85 inches, Lower 3.65 inches, Upper 26.05 inches
2052-10-01: Prediction: 16.28 inches, Lower 4.95 inches, Upper 27.62 inches
2053-10-01: Prediction: 19.27 inches, Lower 7.80 inches, Upper 30.74 inches
2054-10-01: Prediction: 17.36 inches, Lower 5.76 inches, Upper 28.97 inches
2055-10-01: Prediction: 21.13 inches, Lower 9.40 inches, Upper 32.87 inches
2056-10-01: Prediction: 17.68 inches, Lower 5.79 inches, Upper 29.56 inches
2057-10-01: Prediction: 16.40 inches, Lower 4.42 inches, Upper 28.39 inches
2058-10-01: Prediction: 18.90 inches, Lower 6.80 inches, Upper 31.01 inches
2059-10-01: Prediction: 19.09 inches, Lower 6.87 inches, Upper 31.31 inches
2060-10-01: Prediction: 14.12 inches, Lower 1.53 inches, Upper 26.72 inches
2061-10-01: Prediction: 15.59 inches, Lower 2.88 inches, Upper 28.30 inches
2062-10-01: Prediction: 14.93 inches, Lower 2.07 inches, Upper 27.79 inches
2063-10-01: Prediction: 15.59 inches, Lower 2.59 inches, Upper 28.59 inches
2064-10-01: Prediction: 17.02 inches, Lower 3.89 inches, Upper 30.16 inches
2065-10-01: Prediction: 20.01 inches, Lower 6.73 inches, Upper 33.29 inches
2066-10-01: Prediction: 18.10 inches, Lower 4.69 inches, Upper 31.52 inches
2067-10-01: Prediction: 21.87 inches, Lower 8.32 inches, Upper 35.42 inches
2068-10-01: Prediction: 18.42 inches, Lower 4.69 inches, Upper 32.14 inches
2069-10-01: Prediction: 17.14 inches, Lower 3.32 inches, Upper 30.97 inches
2070-10-01: Prediction: 19.64 inches, Lower 5.70 inches, Upper 33.59 inches
2071-10-01: Prediction: 19.83 inches, Lower 5.76 inches, Upper 33.90 inches
2072-10-01: Prediction: 14.86 inches, Lower 0.43 inches, Upper 29.30 inches
2073-10-01: Prediction: 16.33 inches, Lower 1.78 inches, Upper 30.88 inches
2074-10-01: Prediction: 15.67 inches, Lower 0.97 inches, Upper 30.38 inches
2075-10-01: Prediction: 16.33 inches, Lower 1.48 inches, Upper 31.18 inches
2076-10-01: Prediction: 17.76 inches, Lower 2.78 inches, Upper 32.75 inches
2077-10-01: Prediction: 20.75 inches, Lower 5.62 inches, Upper 35.88 inches
2078-10-01: Prediction: 18.85 inches, Lower 3.57 inches, Upper 34.12 inches
2079-10-01: Prediction: 22.62 inches, Lower 7.20 inches, Upper 38.03 inches
