Precipitation Forecast for Granite Springs Station:
2024-10-01: Prediction: 15.86 inches, Lower -487048079.44 inches, Upper 487048111.16 inches
2025-10-01: Prediction: 21.08 inches, Lower -525964404.21 inches, Upper 525964446.37 inches
2026-10-01: Prediction: 15.47 inches, Lower -628011076.92 inches, Upper 628011107.86 inches
2027-10-01: Prediction: 19.94 inches, Lower -683858903.07 inches, Upper 683858942.96 inches
2028-10-01: Prediction: 24.40 inches, Lower -749611471.94 inches, Upper 749611520.74 inches
2029-10-01: Prediction: 40.36 inches, Lower -803318598.09 inches, Upper 803318678.81 inches
2030-10-01: Prediction: 26.04 inches, Lower -856784892.19 inches, Upper 856784944.26 inches
2031-10-01: Prediction: 29.25 inches, Lower -905612669.60 inches, Upper 905612728.10 inches
2032-10-01: Prediction: 15.21 inches, Lower -952648542.18 inches, Upper 952648572.61 inches
2033-10-01: Prediction: 21.35 inches, Lower -997128710.14 inches, Upper 997128752.84 inches
2034-10-01: Prediction: 27.49 inches, Lower -1039871069.87 inches, Upper 1039871124.85 inches
2035-10-01: Prediction: 33.63 inches, Lower -1080845794.21 inches, Upper 1080845861.47 inches
2036-10-01: Prediction: 20.98 inches, Lower -1334057990.68 inches, Upper 1334058032.65 inches
2037-10-01: Prediction: 26.21 inches, Lower -1422377917.26 inches, Upper 1422377969.67 inches
2038-10-01: Prediction: 20.59 inches, Lower -1558931436.51 inches, Upper 1558931477.69 inches
2039-10-01: Prediction: 25.07 inches, Lower -1658345596.13 inches, Upper 1658345646.27 inches
2040-10-01: Prediction: 29.52 inches, Lower -1764194062.41 inches, Upper 1764194121.46 inches
2041-10-01: Prediction: 45.48 inches, Lower -1858239514.72 inches, Upper 1858239605.68 inches
2042-10-01: Prediction: 31.16 inches, Lower -1950505123.13 inches, Upper 1950505185.46 inches
2043-10-01: Prediction: 34.37 inches, Lower -2037272861.37 inches, Upper 2037272930.11 inches
2044-10-01: Prediction: 20.34 inches, Lower -2121130733.00 inches, Upper 2121130773.67 inches
2045-10-01: Prediction: 26.47 inches, Lower -2201488931.23 inches, Upper 2201488984.17 inches
2046-10-01: Prediction: 32.62 inches, Lower -2279164592.35 inches, Upper 2279164657.58 inches
2047-10-01: Prediction: 38.75 inches, Lower -2354206475.43 inches, Upper 2354206552.94 inches
2048-10-01: Prediction: 26.10 inches, Lower -2588802186.88 inches, Upper 2588802239.09 inches
2049-10-01: Prediction: 31.33 inches, Lower -2706156949.56 inches, Upper 2706157012.22 inches
2050-10-01: Prediction: 25.71 inches, Lower -2862453435.77 inches, Upper 2862453487.19 inches
2051-10-01: Prediction: 30.19 inches, Lower -2988974575.55 inches, Upper 2988974635.93 inches
2052-10-01: Prediction: 34.65 inches, Lower -3120602390.28 inches, Upper 3120602459.58 inches
2053-10-01: Prediction: 50.60 inches, Lower -3241914388.26 inches, Upper 3241914489.47 inches
2054-10-01: Prediction: 36.28 inches, Lower -3361247760.53 inches, Upper 3361247833.10 inches
2055-10-01: Prediction: 39.49 inches, Lower -3475321435.57 inches, Upper 3475321514.56 inches
2056-10-01: Prediction: 25.46 inches, Lower -3586333662.66 inches, Upper 3586333713.58 inches
2057-10-01: Prediction: 31.60 inches, Lower -3693735775.84 inches, Upper 3693735839.04 inches
2058-10-01: Prediction: 37.74 inches, Lower -3798236245.21 inches, Upper 3798236320.68 inches
2059-10-01: Prediction: 43.88 inches, Lower -3899872040.08 inches, Upper 3899872127.84 inches
2060-10-01: Prediction: 31.23 inches, Lower -4134082902.52 inches, Upper 4134082964.98 inches
