Precipitation Forecast for Lassen Creek Station:
2024-10-01: Prediction: 31.20 inches, Lower 16.34 inches, Upper 46.06 inches
2025-10-01: Prediction: 31.07 inches, Lower 16.21 inches, Upper 45.94 inches
2026-10-01: Prediction: 34.29 inches, Lower 19.40 inches, Upper 49.18 inches
2027-10-01: Prediction: 34.38 inches, Lower 19.46 inches, Upper 49.30 inches
2028-10-01: Prediction: 36.00 inches, Lower 21.06 inches, Upper 50.94 inches
2029-10-01: Prediction: 45.02 inches, Lower 30.05 inches, Upper 59.99 inches
2030-10-01: Prediction: 40.05 inches, Lower 25.05 inches, Upper 55.04 inches
2031-10-01: Prediction: 43.02 inches, Lower 28.00 inches, Upper 58.04 inches
2032-10-01: Prediction: 39.26 inches, Lower 24.29 inches, Upper 54.23 inches
2033-10-01: Prediction: 37.30 inches, Lower 22.30 inches, Upper 52.29 inches
2034-10-01: Prediction: 40.42 inches, Lower 25.40 inches, Upper 55.44 inches
2035-10-01: Prediction: 43.11 inches, Lower 28.07 inches, Upper 58.16 inches
2036-10-01: Prediction: 34.99 inches, Lower 19.53 inches, Upper 50.45 inches
2037-10-01: Prediction: 34.92 inches, Lower 19.43 inches, Upper 50.41 inches
2038-10-01: Prediction: 38.14 inches, Lower 22.61 inches, Upper 53.66 inches
2039-10-01: Prediction: 38.23 inches, Lower 22.67 inches, Upper 53.78 inches
2040-10-01: Prediction: 39.85 inches, Lower 24.26 inches, Upper 55.43 inches
2041-10-01: Prediction: 48.87 inches, Lower 33.25 inches, Upper 64.49 inches
2042-10-01: Prediction: 43.89 inches, Lower 28.24 inches, Upper 59.55 inches
2043-10-01: Prediction: 46.87 inches, Lower 31.18 inches, Upper 62.56 inches
2044-10-01: Prediction: 43.10 inches, Lower 27.41 inches, Upper 58.80 inches
2045-10-01: Prediction: 41.14 inches, Lower 25.42 inches, Upper 56.86 inches
2046-10-01: Prediction: 44.27 inches, Lower 28.52 inches, Upper 60.02 inches
2047-10-01: Prediction: 46.96 inches, Lower 31.18 inches, Upper 62.74 inches
2048-10-01: Prediction: 38.84 inches, Lower 22.61 inches, Upper 55.06 inches
2049-10-01: Prediction: 38.76 inches, Lower 22.50 inches, Upper 55.03 inches
2050-10-01: Prediction: 41.98 inches, Lower 25.68 inches, Upper 58.28 inches
2051-10-01: Prediction: 42.07 inches, Lower 25.73 inches, Upper 58.41 inches
2052-10-01: Prediction: 43.69 inches, Lower 27.31 inches, Upper 60.07 inches
2053-10-01: Prediction: 52.71 inches, Lower 36.29 inches, Upper 69.13 inches
2054-10-01: Prediction: 47.74 inches, Lower 31.28 inches, Upper 64.20 inches
2055-10-01: Prediction: 50.71 inches, Lower 34.22 inches, Upper 67.21 inches
2056-10-01: Prediction: 46.95 inches, Lower 30.40 inches, Upper 63.50 inches
2057-10-01: Prediction: 44.99 inches, Lower 28.41 inches, Upper 61.57 inches
2058-10-01: Prediction: 48.11 inches, Lower 31.50 inches, Upper 64.73 inches
2059-10-01: Prediction: 50.80 inches, Lower 34.15 inches, Upper 67.46 inches
2060-10-01: Prediction: 42.68 inches, Lower 25.56 inches, Upper 59.80 inches
2061-10-01: Prediction: 42.61 inches, Lower 25.45 inches, Upper 59.77 inches
2062-10-01: Prediction: 45.83 inches, Lower 28.62 inches, Upper 63.03 inches
2063-10-01: Prediction: 45.92 inches, Lower 28.66 inches, Upper 63.17 inches
2064-10-01: Prediction: 47.54 inches, Lower 30.24 inches, Upper 64.83 inches
2065-10-01: Prediction: 56.56 inches, Lower 39.22 inches, Upper 73.90 inches
2066-10-01: Prediction: 51.58 inches, Lower 34.20 inches, Upper 68.97 inches
2067-10-01: Prediction: 54.56 inches, Lower 37.13 inches, Upper 71.99 inches
2068-10-01: Prediction: 50.80 inches, Lower 33.27 inches, Upper 68.32 inches
2069-10-01: Prediction: 48.83 inches, Lower 31.27 inches, Upper 66.39 inches
2070-10-01: Prediction: 51.96 inches, Lower 34.36 inches, Upper 69.56 inches
2071-10-01: Prediction: 54.65 inches, Lower 37.01 inches, Upper 72.29 inches
2072-10-01: Prediction: 46.53 inches, Lower 28.40 inches, Upper 64.66 inches
2073-10-01: Prediction: 46.46 inches, Lower 28.28 inches, Upper 64.63 inches
2074-10-01: Prediction: 49.67 inches, Lower 31.45 inches, Upper 67.90 inches
2075-10-01: Prediction: 49.76 inches, Lower 31.49 inches, Upper 68.03 inches
2076-10-01: Prediction: 51.38 inches, Lower 33.06 inches, Upper 69.70 inches
2077-10-01: Prediction: 60.40 inches, Lower 42.03 inches, Upper 78.78 inches
2078-10-01: Prediction: 55.43 inches, Lower 37.01 inches, Upper 73.85 inches
2079-10-01: Prediction: 58.41 inches, Lower 39.94 inches, Upper 76.88 inches
2080-10-01: Prediction: 54.64 inches, Lower 36.04 inches, Upper 73.25 inches
2081-10-01: Prediction: 52.68 inches, Lower 34.04 inches, Upper 71.32 inches
2082-10-01: Prediction: 55.81 inches, Lower 37.12 inches, Upper 74.49 inches
2083-10-01: Prediction: 58.49 inches, Lower 39.77 inches, Upper 77.22 inches
2084-10-01: Prediction: 50.37 inches, Lower 31.14 inches, Upper 69.60 inches
2085-10-01: Prediction: 50.30 inches, Lower 31.03 inches, Upper 69.58 inches
2086-10-01: Prediction: 53.52 inches, Lower 34.19 inches, Upper 72.85 inches
2087-10-01: Prediction: 53.61 inches, Lower 34.22 inches, Upper 72.99 inches
2088-10-01: Prediction: 55.23 inches, Lower 35.79 inches, Upper 74.66 inches
2089-10-01: Prediction: 64.25 inches, Lower 44.76 inches, Upper 83.74 inches
2090-10-01: Prediction: 59.28 inches, Lower 39.73 inches, Upper 78.82 inches
2091-10-01: Prediction: 62.25 inches, Lower 42.66 inches, Upper 81.85 inches
2092-10-01: Prediction: 58.49 inches, Lower 38.72 inches, Upper 78.25 inches
2093-10-01: Prediction: 56.52 inches, Lower 36.72 inches, Upper 76.33 inches
2094-10-01: Prediction: 59.65 inches, Lower 39.80 inches, Upper 79.50 inches
2095-10-01: Prediction: 62.34 inches, Lower 42.45 inches, Upper 82.23 inches
2096-10-01: Prediction: 54.22 inches, Lower 33.81 inches, Upper 74.63 inches
2097-10-01: Prediction: 54.15 inches, Lower 33.69 inches, Upper 74.60 inches
2098-10-01: Prediction: 57.36 inches, Lower 36.85 inches, Upper 77.88 inches
2099-10-01: Prediction: 57.45 inches, Lower 36.88 inches, Upper 78.02 inches
2100-10-01: Prediction: 59.07 inches, Lower 38.45 inches, Upper 79.70 inches
2101-10-01: Prediction: 68.10 inches, Lower 47.41 inches, Upper 88.78 inches
2102-10-01: Prediction: 63.12 inches, Lower 42.38 inches, Upper 83.86 inches
2103-10-01: Prediction: 66.10 inches, Lower 45.30 inches, Upper 86.89 inches
