Precipitation Forecast for Lights Creek Station:
2024-10-01: Prediction: 16.31 inches, Lower -6.42 inches, Upper 39.04 inches
2025-10-01: Prediction: 24.01 inches, Lower 1.18 inches, Upper 46.84 inches
2026-10-01: Prediction: 21.40 inches, Lower -1.46 inches, Upper 44.26 inches
2027-10-01: Prediction: 23.00 inches, Lower 0.14 inches, Upper 45.86 inches
2028-10-01: Prediction: 24.32 inches, Lower 1.46 inches, Upper 47.18 inches
2029-10-01: Prediction: 34.92 inches, Lower 12.06 inches, Upper 57.77 inches
2030-10-01: Prediction: 33.71 inches, Lower 10.86 inches, Upper 56.57 inches
2031-10-01: Prediction: 36.73 inches, Lower 13.87 inches, Upper 59.59 inches
2032-10-01: Prediction: 25.78 inches, Lower 2.93 inches, Upper 48.64 inches
2033-10-01: Prediction: 23.81 inches, Lower 1.08 inches, Upper 46.55 inches
2034-10-01: Prediction: 32.61 inches, Lower 9.91 inches, Upper 55.31 inches
2035-10-01: Prediction: 32.40 inches, Lower 9.69 inches, Upper 55.10 inches
2036-10-01: Prediction: 16.26 inches, Lower -6.94 inches, Upper 39.47 inches
2037-10-01: Prediction: 22.23 inches, Lower -0.94 inches, Upper 45.41 inches
2038-10-01: Prediction: 19.89 inches, Lower -3.30 inches, Upper 43.07 inches
2039-10-01: Prediction: 21.45 inches, Lower -1.73 inches, Upper 44.63 inches
2040-10-01: Prediction: 22.78 inches, Lower -0.41 inches, Upper 45.96 inches
2041-10-01: Prediction: 33.37 inches, Lower 10.19 inches, Upper 56.55 inches
2042-10-01: Prediction: 32.17 inches, Lower 8.98 inches, Upper 55.35 inches
2043-10-01: Prediction: 35.18 inches, Lower 12.00 inches, Upper 58.37 inches
2044-10-01: Prediction: 24.24 inches, Lower 1.05 inches, Upper 47.42 inches
2045-10-01: Prediction: 22.27 inches, Lower -0.85 inches, Upper 45.39 inches
2046-10-01: Prediction: 31.06 inches, Lower 7.99 inches, Upper 54.14 inches
2047-10-01: Prediction: 30.85 inches, Lower 7.77 inches, Upper 53.93 inches
2048-10-01: Prediction: 14.71 inches, Lower -8.91 inches, Upper 38.34 inches
2049-10-01: Prediction: 20.69 inches, Lower -2.90 inches, Upper 44.28 inches
2050-10-01: Prediction: 18.34 inches, Lower -5.26 inches, Upper 41.94 inches
2051-10-01: Prediction: 19.90 inches, Lower -3.69 inches, Upper 43.50 inches
2052-10-01: Prediction: 21.23 inches, Lower -2.37 inches, Upper 44.83 inches
2053-10-01: Prediction: 31.82 inches, Lower 8.23 inches, Upper 55.42 inches
2054-10-01: Prediction: 30.62 inches, Lower 7.02 inches, Upper 54.22 inches
2055-10-01: Prediction: 33.64 inches, Lower 10.04 inches, Upper 57.23 inches
