Precipitation Forecast for Mount Hough Station:
2024-10-01: Prediction: 46.44 inches, Lower -291667705.05 inches, Upper 291667797.92 inches
2025-10-01: Prediction: 46.68 inches, Lower -292197982.22 inches, Upper 292198075.57 inches
2026-10-01: Prediction: 34.51 inches, Lower -322642126.28 inches, Upper 322642195.30 inches
2027-10-01: Prediction: 37.49 inches, Lower -333639590.45 inches, Upper 333639665.43 inches
2028-10-01: Prediction: 59.80 inches, Lower -350534711.68 inches, Upper 350534831.28 inches
2029-10-01: Prediction: 87.04 inches, Lower -363895696.24 inches, Upper 363895870.31 inches
2030-10-01: Prediction: 48.33 inches, Lower -377912557.28 inches, Upper 377912653.94 inches
2031-10-01: Prediction: 69.33 inches, Lower -390948163.62 inches, Upper 390948302.28 inches
2032-10-01: Prediction: 43.12 inches, Lower -403764085.30 inches, Upper 403764171.54 inches
2033-10-01: Prediction: 56.86 inches, Lower -416100451.77 inches, Upper 416100565.50 inches
2034-10-01: Prediction: 70.61 inches, Lower -428117386.76 inches, Upper 428117527.98 inches
2035-10-01: Prediction: 84.36 inches, Lower -439790882.26 inches, Upper 439791050.97 inches
2036-10-01: Prediction: 54.73 inches, Lower -589369393.92 inches, Upper 589369503.39 inches
2037-10-01: Prediction: 54.97 inches, Lower -601118553.03 inches, Upper 601118662.97 inches
2038-10-01: Prediction: 42.80 inches, Lower -646332748.21 inches, Upper 646332833.82 inches
2039-10-01: Prediction: 45.79 inches, Lower -672461661.44 inches, Upper 672461753.02 inches
2040-10-01: Prediction: 68.09 inches, Lower -703951461.26 inches, Upper 703951597.45 inches
2041-10-01: Prediction: 95.33 inches, Lower -731369217.67 inches, Upper 731369408.34 inches
2042-10-01: Prediction: 56.63 inches, Lower -758924315.69 inches, Upper 758924428.95 inches
2043-10-01: Prediction: 77.62 inches, Lower -785036374.20 inches, Upper 785036529.45 inches
2044-10-01: Prediction: 51.41 inches, Lower -810507977.30 inches, Upper 810508080.12 inches
2045-10-01: Prediction: 65.16 inches, Lower -835118347.57 inches, Upper 835118477.88 inches
2046-10-01: Prediction: 78.91 inches, Lower -859059755.00 inches, Upper 859059912.81 inches
2047-10-01: Prediction: 92.65 inches, Lower -882336611.61 inches, Upper 882336796.91 inches
2048-10-01: Prediction: 63.03 inches, Lower -1010739548.85 inches, Upper 1010739674.91 inches
2049-10-01: Prediction: 63.27 inches, Lower -1034181130.84 inches, Upper 1034181257.37 inches
2050-10-01: Prediction: 51.10 inches, Lower -1088066211.84 inches, Upper 1088066314.04 inches
2051-10-01: Prediction: 54.08 inches, Lower -1125104122.34 inches, Upper 1125104230.51 inches
2052-10-01: Prediction: 76.39 inches, Lower -1166729249.48 inches, Upper 1166729402.26 inches
2053-10-01: Prediction: 103.63 inches, Lower -1204445682.75 inches, Upper 1204445890.01 inches
2054-10-01: Prediction: 64.92 inches, Lower -1242051984.63 inches, Upper 1242052114.48 inches
2055-10-01: Prediction: 85.92 inches, Lower -1278113351.69 inches, Upper 1278113523.53 inches
2056-10-01: Prediction: 59.71 inches, Lower -1313370513.51 inches, Upper 1313370632.93 inches
2057-10-01: Prediction: 73.45 inches, Lower -1347626836.07 inches, Upper 1347626982.97 inches
2058-10-01: Prediction: 87.20 inches, Lower -1381067116.43 inches, Upper 1381067290.83 inches
2059-10-01: Prediction: 100.95 inches, Lower -1413702412.04 inches, Upper 1413702613.94 inches
2060-10-01: Prediction: 71.33 inches, Lower -1533309661.61 inches, Upper 1533309804.26 inches
2061-10-01: Prediction: 71.56 inches, Lower -1566267801.41 inches, Upper 1566267944.54 inches
2062-10-01: Prediction: 59.40 inches, Lower -1626584903.91 inches, Upper 1626585022.70 inches
2063-10-01: Prediction: 62.38 inches, Lower -1671984862.99 inches, Upper 1671984987.75 inches
2064-10-01: Prediction: 84.69 inches, Lower -1721411427.69 inches, Upper 1721411597.06 inches
2065-10-01: Prediction: 111.93 inches, Lower -1767212419.65 inches, Upper 1767212643.50 inches
2066-10-01: Prediction: 73.22 inches, Lower -1812802583.46 inches, Upper 1812802729.90 inches
2067-10-01: Prediction: 94.22 inches, Lower -1856870920.07 inches, Upper 1856871108.50 inches
2068-10-01: Prediction: 68.01 inches, Lower -1900088541.61 inches, Upper 1900088677.62 inches
2069-10-01: Prediction: 81.75 inches, Lower -1942271903.13 inches, Upper 1942272066.62 inches
2070-10-01: Prediction: 95.50 inches, Lower -1983589399.29 inches, Upper 1983589590.29 inches
2071-10-01: Prediction: 109.24 inches, Lower -2024050423.52 inches, Upper 2024050642.01 inches
2072-10-01: Prediction: 79.62 inches, Lower -2139846440.07 inches, Upper 2139846599.31 inches
2073-10-01: Prediction: 79.86 inches, Lower -2180731623.59 inches, Upper 2180731783.31 inches
2074-10-01: Prediction: 67.69 inches, Lower -2246479775.57 inches, Upper 2246479910.95 inches
2075-10-01: Prediction: 70.67 inches, Lower -2298799954.28 inches, Upper 2298800095.63 inches
2076-10-01: Prediction: 92.98 inches, Lower -2354740410.66 inches, Upper 2354740596.62 inches
2077-10-01: Prediction: 120.22 inches, Lower -2407323449.40 inches, Upper 2407323689.84 inches
2078-10-01: Prediction: 81.51 inches, Lower -2459654568.27 inches, Upper 2459654731.29 inches
2079-10-01: Prediction: 102.51 inches, Lower -2510522652.22 inches, Upper 2510522857.24 inches
2080-10-01: Prediction: 76.30 inches, Lower -2560539106.85 inches, Upper 2560539259.45 inches
2081-10-01: Prediction: 90.04 inches, Lower -2609529283.18 inches, Upper 2609529463.26 inches
2082-10-01: Prediction: 103.79 inches, Lower -2657645479.32 inches, Upper 2657645686.91 inches
2083-10-01: Prediction: 117.54 inches, Lower -2704893523.64 inches, Upper 2704893758.71 inches
2084-10-01: Prediction: 87.92 inches, Lower -2819319332.38 inches, Upper 2819319508.21 inches
2085-10-01: Prediction: 88.15 inches, Lower -2867049290.26 inches, Upper 2867049466.57 inches
2086-10-01: Prediction: 75.99 inches, Lower -2937655720.91 inches, Upper 2937655872.89 inches
2087-10-01: Prediction: 78.97 inches, Lower -2995990167.77 inches, Upper 2995990325.71 inches
2088-10-01: Prediction: 101.28 inches, Lower -3057637436.43 inches, Upper 3057637638.99 inches
2089-10-01: Prediction: 128.52 inches, Lower -3116158375.50 inches, Upper 3116158632.53 inches
2090-10-01: Prediction: 89.81 inches, Lower -3174411686.36 inches, Upper 3174411865.98 inches
2091-10-01: Prediction: 110.81 inches, Lower -3231267725.97 inches, Upper 3231267947.58 inches
2092-10-01: Prediction: 84.60 inches, Lower -3287288931.20 inches, Upper 3287289100.39 inches
2093-10-01: Prediction: 98.34 inches, Lower -3342307757.80 inches, Upper 3342307954.48 inches
2094-10-01: Prediction: 112.09 inches, Lower -3396462630.87 inches, Upper 3396462855.05 inches
2095-10-01: Prediction: 125.83 inches, Lower -3449755837.48 inches, Upper 3449756089.14 inches
2096-10-01: Prediction: 96.21 inches, Lower -3564147711.21 inches, Upper 3564147903.63 inches
2097-10-01: Prediction: 96.45 inches, Lower -3617954220.01 inches, Upper 3617954412.91 inches
2098-10-01: Prediction: 84.28 inches, Lower -3693031541.09 inches, Upper 3693031709.66 inches
2099-10-01: Prediction: 87.27 inches, Lower -3756755941.64 inches, Upper 3756756116.17 inches
2100-10-01: Prediction: 109.57 inches, Lower -3823551285.54 inches, Upper 3823551504.68 inches
2101-10-01: Prediction: 136.81 inches, Lower -3887416170.99 inches, Upper 3887416444.61 inches
2102-10-01: Prediction: 98.10 inches, Lower -3951009281.30 inches, Upper 3951009477.51 inches
2103-10-01: Prediction: 119.10 inches, Lower -4013268650.25 inches, Upper 4013268888.46 inches
