Precipitation Forecast for Mount Shasta Station:
2024-10-01: Prediction: 52.77 inches, Lower 5.51 inches, Upper 100.04 inches
2025-10-01: Prediction: 47.38 inches, Lower 0.48 inches, Upper 94.28 inches
2026-10-01: Prediction: 52.85 inches, Lower 5.92 inches, Upper 99.77 inches
2027-10-01: Prediction: 50.51 inches, Lower 3.59 inches, Upper 97.44 inches
2028-10-01: Prediction: 58.79 inches, Lower 11.87 inches, Upper 105.71 inches
2029-10-01: Prediction: 70.74 inches, Lower 23.82 inches, Upper 117.67 inches
2030-10-01: Prediction: 60.03 inches, Lower 13.11 inches, Upper 106.96 inches
2031-10-01: Prediction: 73.37 inches, Lower 26.45 inches, Upper 120.30 inches
2032-10-01: Prediction: 43.63 inches, Lower -3.30 inches, Upper 90.55 inches
2033-10-01: Prediction: 42.82 inches, Lower -4.00 inches, Upper 89.65 inches
2034-10-01: Prediction: 59.87 inches, Lower 13.07 inches, Upper 106.66 inches
2035-10-01: Prediction: 67.67 inches, Lower 20.87 inches, Upper 114.47 inches
2036-10-01: Prediction: 54.48 inches, Lower 6.04 inches, Upper 102.91 inches
2037-10-01: Prediction: 44.76 inches, Lower -3.19 inches, Upper 92.71 inches
2038-10-01: Prediction: 50.73 inches, Lower 2.77 inches, Upper 98.69 inches
2039-10-01: Prediction: 48.34 inches, Lower 0.38 inches, Upper 96.29 inches
2040-10-01: Prediction: 56.62 inches, Lower 8.67 inches, Upper 104.58 inches
2041-10-01: Prediction: 68.57 inches, Lower 20.62 inches, Upper 116.53 inches
2042-10-01: Prediction: 57.86 inches, Lower 9.91 inches, Upper 105.82 inches
2043-10-01: Prediction: 71.20 inches, Lower 23.25 inches, Upper 119.16 inches
2044-10-01: Prediction: 41.46 inches, Lower -6.50 inches, Upper 89.41 inches
2045-10-01: Prediction: 40.65 inches, Lower -7.26 inches, Upper 88.57 inches
2046-10-01: Prediction: 57.70 inches, Lower 9.81 inches, Upper 105.58 inches
2047-10-01: Prediction: 65.50 inches, Lower 17.61 inches, Upper 113.38 inches
2048-10-01: Prediction: 52.31 inches, Lower 2.75 inches, Upper 101.87 inches
2049-10-01: Prediction: 42.59 inches, Lower -6.50 inches, Upper 91.68 inches
2050-10-01: Prediction: 48.56 inches, Lower -0.53 inches, Upper 97.66 inches
2051-10-01: Prediction: 46.17 inches, Lower -2.93 inches, Upper 95.26 inches
2052-10-01: Prediction: 54.45 inches, Lower 5.36 inches, Upper 103.55 inches
2053-10-01: Prediction: 66.40 inches, Lower 17.31 inches, Upper 115.50 inches
2054-10-01: Prediction: 55.69 inches, Lower 6.60 inches, Upper 104.79 inches
2055-10-01: Prediction: 69.03 inches, Lower 19.94 inches, Upper 118.13 inches
2056-10-01: Prediction: 39.29 inches, Lower -9.81 inches, Upper 88.39 inches
2057-10-01: Prediction: 38.48 inches, Lower -10.63 inches, Upper 87.59 inches
2058-10-01: Prediction: 55.53 inches, Lower 6.46 inches, Upper 104.60 inches
2059-10-01: Prediction: 63.33 inches, Lower 14.25 inches, Upper 112.40 inches
2060-10-01: Prediction: 50.14 inches, Lower -0.65 inches, Upper 100.92 inches
2061-10-01: Prediction: 40.42 inches, Lower -9.91 inches, Upper 90.75 inches
2062-10-01: Prediction: 46.39 inches, Lower -3.94 inches, Upper 96.73 inches
2063-10-01: Prediction: 44.00 inches, Lower -6.34 inches, Upper 94.33 inches
2064-10-01: Prediction: 52.28 inches, Lower 1.95 inches, Upper 102.62 inches
2065-10-01: Prediction: 64.23 inches, Lower 13.90 inches, Upper 114.57 inches
2066-10-01: Prediction: 53.52 inches, Lower 3.19 inches, Upper 103.86 inches
2067-10-01: Prediction: 66.87 inches, Lower 16.53 inches, Upper 117.20 inches
2068-10-01: Prediction: 37.12 inches, Lower -13.22 inches, Upper 87.46 inches
2069-10-01: Prediction: 36.31 inches, Lower -14.09 inches, Upper 86.72 inches
2070-10-01: Prediction: 53.36 inches, Lower 3.00 inches, Upper 103.72 inches
2071-10-01: Prediction: 61.16 inches, Lower 10.80 inches, Upper 111.52 inches
2072-10-01: Prediction: 47.97 inches, Lower -4.13 inches, Upper 100.07 inches
2073-10-01: Prediction: 38.25 inches, Lower -13.41 inches, Upper 89.92 inches
2074-10-01: Prediction: 44.22 inches, Lower -7.45 inches, Upper 95.89 inches
2075-10-01: Prediction: 41.83 inches, Lower -9.84 inches, Upper 93.50 inches
2076-10-01: Prediction: 50.11 inches, Lower -1.56 inches, Upper 101.78 inches
