Precipitation Forecast for Shaffer Mountain Station:
2024-10-01: Prediction: 7.55 inches, Lower -0.51 inches, Upper 15.61 inches
2025-10-01: Prediction: 9.54 inches, Lower 1.46 inches, Upper 17.61 inches
2026-10-01: Prediction: 9.43 inches, Lower -0.85 inches, Upper 19.71 inches
2027-10-01: Prediction: 18.20 inches, Lower 7.76 inches, Upper 28.64 inches
2028-10-01: Prediction: 15.73 inches, Lower 4.00 inches, Upper 27.46 inches
2029-10-01: Prediction: 20.98 inches, Lower 8.96 inches, Upper 32.99 inches
2030-10-01: Prediction: 15.55 inches, Lower 2.64 inches, Upper 28.46 inches
2031-10-01: Prediction: 17.89 inches, Lower 4.62 inches, Upper 31.16 inches
2032-10-01: Prediction: 11.52 inches, Lower -2.45 inches, Upper 25.49 inches
2033-10-01: Prediction: 12.53 inches, Lower -1.84 inches, Upper 26.90 inches
2034-10-01: Prediction: 15.17 inches, Lower 0.22 inches, Upper 30.12 inches
2035-10-01: Prediction: 18.01 inches, Lower 2.65 inches, Upper 33.38 inches
2036-10-01: Prediction: 8.65 inches, Lower -9.96 inches, Upper 27.27 inches
2037-10-01: Prediction: 10.75 inches, Lower -8.30 inches, Upper 29.79 inches
2038-10-01: Prediction: 10.55 inches, Lower -10.54 inches, Upper 31.65 inches
2039-10-01: Prediction: 19.39 inches, Lower -2.32 inches, Upper 41.11 inches
2040-10-01: Prediction: 16.87 inches, Lower -6.34 inches, Upper 40.08 inches
2041-10-01: Prediction: 22.16 inches, Lower -1.78 inches, Upper 46.09 inches
2042-10-01: Prediction: 16.70 inches, Lower -8.43 inches, Upper 41.83 inches
2043-10-01: Prediction: 19.06 inches, Lower -6.83 inches, Upper 44.96 inches
2044-10-01: Prediction: 12.68 inches, Lower -14.24 inches, Upper 39.59 inches
2045-10-01: Prediction: 13.70 inches, Lower -13.99 inches, Upper 41.39 inches
2046-10-01: Prediction: 16.33 inches, Lower -12.27 inches, Upper 44.93 inches
2047-10-01: Prediction: 19.18 inches, Lower -10.18 inches, Upper 48.54 inches
