Precipitation Forecast for Three Mile Valley Station:
2024-10-01: Prediction: 21.09 inches, Lower -4.14 inches, Upper 46.31 inches
2025-10-01: Prediction: 30.04 inches, Lower 4.84 inches, Upper 55.24 inches
2026-10-01: Prediction: 26.22 inches, Lower 1.02 inches, Upper 51.43 inches
2027-10-01: Prediction: 30.56 inches, Lower 5.35 inches, Upper 55.76 inches
2028-10-01: Prediction: 30.55 inches, Lower 5.34 inches, Upper 55.75 inches
2029-10-01: Prediction: 43.59 inches, Lower 18.39 inches, Upper 68.80 inches
2030-10-01: Prediction: 40.85 inches, Lower 15.64 inches, Upper 66.05 inches
2031-10-01: Prediction: 46.52 inches, Lower 21.31 inches, Upper 71.72 inches
2032-10-01: Prediction: 34.49 inches, Lower 9.29 inches, Upper 59.70 inches
2033-10-01: Prediction: 32.20 inches, Lower 7.11 inches, Upper 57.28 inches
2034-10-01: Prediction: 38.40 inches, Lower 13.33 inches, Upper 63.47 inches
2035-10-01: Prediction: 39.86 inches, Lower 14.79 inches, Upper 64.93 inches
2036-10-01: Prediction: 21.12 inches, Lower -4.53 inches, Upper 46.76 inches
2037-10-01: Prediction: 29.54 inches, Lower 3.91 inches, Upper 55.17 inches
2038-10-01: Prediction: 25.76 inches, Lower 0.13 inches, Upper 51.39 inches
2039-10-01: Prediction: 30.09 inches, Lower 4.46 inches, Upper 55.72 inches
2040-10-01: Prediction: 30.08 inches, Lower 4.45 inches, Upper 55.71 inches
2041-10-01: Prediction: 43.13 inches, Lower 17.50 inches, Upper 68.76 inches
2042-10-01: Prediction: 40.38 inches, Lower 14.75 inches, Upper 66.01 inches
2043-10-01: Prediction: 46.05 inches, Lower 20.42 inches, Upper 71.68 inches
2044-10-01: Prediction: 34.02 inches, Lower 8.39 inches, Upper 59.65 inches
2045-10-01: Prediction: 31.73 inches, Lower 6.15 inches, Upper 57.31 inches
2046-10-01: Prediction: 37.93 inches, Lower 12.38 inches, Upper 63.49 inches
2047-10-01: Prediction: 39.39 inches, Lower 13.83 inches, Upper 64.95 inches
2048-10-01: Prediction: 20.65 inches, Lower -5.54 inches, Upper 46.83 inches
2049-10-01: Prediction: 29.07 inches, Lower 2.90 inches, Upper 55.23 inches
2050-10-01: Prediction: 25.29 inches, Lower -0.88 inches, Upper 51.45 inches
2051-10-01: Prediction: 29.62 inches, Lower 3.45 inches, Upper 55.79 inches
2052-10-01: Prediction: 29.61 inches, Lower 3.44 inches, Upper 55.78 inches
2053-10-01: Prediction: 42.66 inches, Lower 16.49 inches, Upper 68.82 inches
2054-10-01: Prediction: 39.91 inches, Lower 13.74 inches, Upper 66.08 inches
2055-10-01: Prediction: 45.58 inches, Lower 19.41 inches, Upper 71.75 inches
2056-10-01: Prediction: 33.55 inches, Lower 7.39 inches, Upper 59.72 inches
2057-10-01: Prediction: 31.26 inches, Lower 5.08 inches, Upper 57.44 inches
2058-10-01: Prediction: 37.46 inches, Lower 11.31 inches, Upper 63.62 inches
2059-10-01: Prediction: 38.92 inches, Lower 12.77 inches, Upper 65.07 inches
2060-10-01: Prediction: 20.18 inches, Lower -6.65 inches, Upper 47.01 inches
2061-10-01: Prediction: 28.60 inches, Lower 1.79 inches, Upper 55.41 inches
2062-10-01: Prediction: 24.82 inches, Lower -1.99 inches, Upper 51.63 inches
2063-10-01: Prediction: 29.15 inches, Lower 2.34 inches, Upper 55.96 inches
2064-10-01: Prediction: 29.14 inches, Lower 2.33 inches, Upper 55.95 inches
2065-10-01: Prediction: 42.19 inches, Lower 15.38 inches, Upper 69.00 inches
2066-10-01: Prediction: 39.44 inches, Lower 12.63 inches, Upper 66.25 inches
2067-10-01: Prediction: 45.11 inches, Lower 18.30 inches, Upper 71.92 inches
2068-10-01: Prediction: 33.08 inches, Lower 6.28 inches, Upper 59.89 inches
2069-10-01: Prediction: 30.79 inches, Lower 3.91 inches, Upper 57.67 inches
2070-10-01: Prediction: 36.99 inches, Lower 10.14 inches, Upper 63.85 inches
2071-10-01: Prediction: 38.45 inches, Lower 11.60 inches, Upper 65.30 inches
2072-10-01: Prediction: 19.71 inches, Lower -7.86 inches, Upper 47.28 inches
2073-10-01: Prediction: 28.13 inches, Lower 0.58 inches, Upper 55.68 inches
2074-10-01: Prediction: 24.35 inches, Lower -3.20 inches, Upper 51.90 inches
2075-10-01: Prediction: 28.68 inches, Lower 1.14 inches, Upper 56.23 inches
2076-10-01: Prediction: 28.67 inches, Lower 1.13 inches, Upper 56.22 inches
2077-10-01: Prediction: 41.72 inches, Lower 14.17 inches, Upper 69.27 inches
2078-10-01: Prediction: 38.97 inches, Lower 11.42 inches, Upper 66.52 inches
2079-10-01: Prediction: 44.64 inches, Lower 17.09 inches, Upper 72.19 inches
2080-10-01: Prediction: 32.62 inches, Lower 5.07 inches, Upper 60.16 inches
2081-10-01: Prediction: 30.32 inches, Lower 2.64 inches, Upper 58.00 inches
2082-10-01: Prediction: 36.53 inches, Lower 8.88 inches, Upper 64.17 inches
2083-10-01: Prediction: 37.98 inches, Lower 10.33 inches, Upper 65.63 inches
2084-10-01: Prediction: 19.24 inches, Lower -9.16 inches, Upper 47.65 inches
2085-10-01: Prediction: 27.66 inches, Lower -0.71 inches, Upper 56.03 inches
2086-10-01: Prediction: 23.88 inches, Lower -4.50 inches, Upper 52.26 inches
2087-10-01: Prediction: 28.21 inches, Lower -0.16 inches, Upper 56.59 inches
2088-10-01: Prediction: 28.20 inches, Lower -0.17 inches, Upper 56.58 inches
2089-10-01: Prediction: 41.25 inches, Lower 12.87 inches, Upper 69.63 inches
2090-10-01: Prediction: 38.50 inches, Lower 10.13 inches, Upper 66.88 inches
2091-10-01: Prediction: 44.17 inches, Lower 15.80 inches, Upper 72.55 inches
2092-10-01: Prediction: 32.15 inches, Lower 3.77 inches, Upper 60.52 inches
2093-10-01: Prediction: 29.85 inches, Lower 1.29 inches, Upper 58.41 inches
2094-10-01: Prediction: 36.06 inches, Lower 7.53 inches, Upper 64.58 inches
2095-10-01: Prediction: 37.51 inches, Lower 8.98 inches, Upper 66.04 inches
2096-10-01: Prediction: 18.77 inches, Lower -10.55 inches, Upper 48.09 inches
2097-10-01: Prediction: 27.19 inches, Lower -2.09 inches, Upper 56.48 inches
2098-10-01: Prediction: 23.41 inches, Lower -5.88 inches, Upper 52.70 inches
2099-10-01: Prediction: 27.74 inches, Lower -1.54 inches, Upper 57.03 inches
2100-10-01: Prediction: 27.74 inches, Lower -1.55 inches, Upper 57.02 inches
2101-10-01: Prediction: 40.78 inches, Lower 11.49 inches, Upper 70.07 inches
2102-10-01: Prediction: 38.03 inches, Lower 8.75 inches, Upper 67.32 inches
2103-10-01: Prediction: 43.70 inches, Lower 14.42 inches, Upper 72.99 inches
